repo,month,PullRequestEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,IssueCommentEvent,IssuesEvent,CreateEvent,DeleteEvent,ForkEvent,WatchEvent,MemberEvent,CommitCommentEvent,total
hyperledger/solang,2022-08,3,11,9,1,5,3,1,1,0,0,0,0,34
hyperledger/solang,2022-09,16,87,89,16,21,4,3,2,0,0,1,0,239
hyperledger/solang,2022-10,13,78,94,8,11,0,0,0,0,0,0,0,204
hyperledger/solang,2022-11,15,46,59,6,10,2,0,0,0,0,0,0,138
hyperledger/solang,2022-12,26,155,150,14,8,0,0,0,0,0,0,0,353
hyperledger/solang,2023-01,18,70,49,8,11,6,1,0,0,0,0,0,163
hyperledger/solang,2023-02,36,116,114,17,36,5,1,0,0,0,0,0,325
hyperledger/solang,2023-03,27,102,93,18,19,5,1,1,0,0,1,0,267
hyperledger/solang,2023-04,31,79,61,13,12,3,1,0,0,0,0,0,200
hyperledger/solang,2023-05,35,90,81,19,25,2,1,0,0,0,0,0,253
hyperledger/solang,2023-06,13,76,59,7,30,1,0,0,0,0,0,0,186
hyperledger/solang,2023-07,23,88,84,12,24,7,0,0,0,0,0,0,238
hyperledger/solang,2023-08,21,97,78,14,21,5,1,0,0,0,0,0,237
hyperledger/solang,2023-09,20,93,86,12,24,12,0,0,0,0,0,0,247
hyperledger/solang,2023-10,23,47,44,13,7,0,2,1,0,0,0,0,137
hyperledger/solang,2023-11,24,50,58,19,18,3,0,3,0,0,0,0,175
hyperledger/solang,2023-12,10,18,15,7,13,2,0,1,0,0,0,0,66
hyperledger/solang,2024-01,3,3,4,2,5,2,0,0,0,0,0,0,19
hyperledger/solang,2024-02,2,5,1,1,0,0,0,0,0,0,0,0,9
hyperledger/solang,2024-03,1,3,0,0,3,0,0,0,0,0,0,0,7
hyperledger/solang,2024-04,2,8,1,1,2,0,0,0,0,0,0,0,14
hyperledger/solang,2024-05,3,1,0,2,1,0,0,0,0,0,0,0,7
hyperledger/solang,2024-06,10,16,15,4,9,1,0,0,0,0,0,0,55
hyperledger/solang,2024-07,1,0,0,1,0,0,0,0,0,0,0,0,2
hyperledger/solang,2024-08,2,0,0,1,1,0,0,0,0,0,0,0,4
