repo,month,PushEvent,DeleteEvent,PullRequestEvent,CreateEvent,PullRequestReviewEvent,ReleaseEvent,IssuesEvent,IssueCommentEvent,ForkEvent,total
PQCA/cbomkit-action,2025-02,6,2,0,5,0,5,0,0,0,18
PQCA/cbomkit-action,2025-03,26,24,0,25,0,22,0,0,0,97
PQCA/cbomkit-action,2025-04,12,7,1,13,0,11,0,1,1,46
PQCA/cbomkit-action,2025-05,5,2,4,4,1,3,3,2,0,24
PQCA/cbomkit-action,2025-06,5,0,3,0,1,0,1,0,0,10
PQCA/cbomkit-action,2025-07,6,4,10,4,0,2,1,1,0,28
PQCA/cbomkit-action,2025-08,4,2,5,0,1,0,2,0,0,14
PQCA/cbomkit-action,2025-09,1,0,3,0,3,0,0,0,0,7
PQCA/cbomkit,2025-05,7,3,4,2,11,0,1,5,0,33
PQCA/cbomkit,2025-06,9,6,8,4,8,1,4,1,0,41
PQCA/cbomkit,2025-07,8,10,11,2,2,0,0,0,0,33
PQCA/cbomkit,2025-08,8,5,10,1,4,0,2,2,0,32
PQCA/cbomkit,2025-09,7,6,6,1,2,0,0,2,0,24
PQCA/cbomkit,2025-10,6,4,5,1,2,0,0,0,0,18
PQCA/sonar-cryptography,2025-05,0,0,1,1,2,0,0,0,0,4
PQCA/sonar-cryptography,2025-06,4,5,2,0,3,0,1,2,0,17
PQCA/sonar-cryptography,2025-08,9,15,5,2,5,1,0,0,0,37
PQCA/sonar-cryptography,2025-09,6,4,7,4,2,1,0,0,0,24
PQCA/sonar-cryptography,2025-10,5,2,3,2,2,0,0,0,0,14
PQCA/sonar-cryptography,2025-11,1,0,0,0,0,0,0,0,0,1
PQCA/cbomkit-lib,2025-06,4,0,0,0,0,0,0,0,0,4
PQCA/cbomkit-lib,2025-07,5,2,6,3,2,2,0,0,0,20
PQCA/cbomkit-lib,2025-08,4,0,5,4,3,1,0,0,0,17
PQCA/cbomkit-lib,2025-09,1,1,2,4,0,0,0,0,0,8
cbomkit/cbomkit-theia,2025-11,0,0,0,2,1,1,2,0,0,6
cbomkit/cbomkit-theia,2025-12,1,0,0,0,0,0,0,1,0,2
cbomkit/cbomkit-theia,2026-03,3,3,0,1,1,0,1,0,0,9
cbomkit/cbomkit-theia,2026-04,14,5,1,0,1,0,0,0,0,21
cbomkit/cbomkit-theia,2026-05,0,1,0,0,0,1,0,0,0,2
cbomkit/sonar-cryptography,2025-11,2,1,0,0,0,0,3,0,0,6
cbomkit/sonar-cryptography,2026-01,1,1,0,2,1,0,0,2,0,7
cbomkit/sonar-cryptography,2026-02,1,1,0,1,0,1,0,1,0,5
cbomkit/sonar-cryptography,2026-04,5,4,0,0,3,0,0,1,0,13
cbomkit/sonar-cryptography,2026-05,1,2,0,0,0,0,0,0,0,3
cbomkit/cbomkit-lib,2025-11,2,0,0,1,0,0,0,0,0,3
cbomkit/cbomkit-lib,2026-01,7,4,0,1,2,0,0,0,0,14
cbomkit/cbomkit-lib,2026-02,0,0,0,0,0,0,0,1,0,1
cbomkit/cbomkit-lib,2026-03,1,0,1,0,0,0,0,0,0,2
cbomkit/cbomkit-lib,2026-04,3,4,0,0,1,0,0,0,0,8
cbomkit/cbomkit-lib,2026-05,1,1,0,1,0,0,0,0,0,3
cbomkit/cbomkit,2025-11,3,2,1,2,0,1,1,0,0,10
cbomkit/cbomkit,2026-01,2,1,2,1,1,0,1,0,0,8
cbomkit/cbomkit,2026-02,3,1,2,1,1,0,0,1,0,9
cbomkit/cbomkit,2026-03,0,0,0,0,0,0,0,1,0,1
PQCA/cbomkit-theia,2025-05,1,1,1,1,2,0,0,0,0,6
PQCA/cbomkit-theia,2025-09,5,6,3,0,3,0,2,0,0,19
cbomkit/cbomkit-action,2025-11,0,1,0,1,0,1,2,0,0,5
cbomkit/cbomkit-action,2026-01,7,4,4,1,1,0,0,1,0,18
cbomkit/cbomkit-action,2026-02,0,0,0,1,0,0,0,0,0,1
PQCA/wg-tooling,2025-05,0,0,0,0,0,0,0,1,0,1
PQCA/wg-tooling,2025-07,0,0,0,0,0,0,0,1,0,1
PQCA/TAC,2025-10,0,0,0,0,0,0,1,0,0,1
PQCA/governance,2025-06,0,0,0,0,0,0,1,0,0,1
cbomkit/tsc,2026-01,0,0,1,0,0,0,0,0,0,1
