repo,month,PushEvent,PullRequestEvent,CreateEvent,DeleteEvent,PullRequestReviewEvent,IssueCommentEvent,ForkEvent,ReleaseEvent,IssuesEvent,PullRequestReviewCommentEvent,total
credebl/platform,2024-02,2,1,0,0,0,0,0,0,0,0,3
credebl/platform,2024-03,1,0,1,0,0,0,0,0,0,0,2
credebl/platform,2024-04,7,4,2,1,0,0,0,0,0,0,14
credebl/platform,2024-05,0,1,2,1,0,0,0,0,0,0,4
credebl/platform,2024-06,2,1,1,0,1,0,0,0,1,0,6
credebl/platform,2024-07,2,2,0,0,1,0,0,0,0,0,5
credebl/platform,2024-08,2,1,0,0,2,0,0,0,0,0,5
credebl/platform,2024-09,1,2,1,7,0,1,0,0,0,0,12
credebl/platform,2024-11,1,2,1,1,1,0,0,0,0,0,6
credebl/platform,2025-01,5,1,0,0,3,0,0,0,0,0,9
credebl/platform,2025-03,22,7,9,6,0,0,0,1,0,0,45
credebl/platform,2025-04,13,10,6,3,4,3,0,0,3,0,42
credebl/platform,2025-05,7,4,5,5,0,0,1,0,0,0,22
credebl/platform,2025-06,1,3,3,1,0,1,0,1,0,0,10
credebl/platform,2025-07,3,0,0,0,0,0,0,0,0,0,3
credebl/platform,2025-08,10,1,1,0,1,0,0,0,0,0,13
credebl/platform,2025-09,11,4,1,1,2,0,0,0,0,0,19
credebl/platform,2025-10,0,0,0,0,1,0,0,0,0,0,1
credebl/platform,2025-11,3,0,4,7,1,0,0,0,0,1,16
credebl/platform,2025-12,7,1,0,0,0,0,0,0,0,0,8
credebl/platform,2026-01,3,0,0,6,0,0,0,0,0,0,9
credebl/platform,2026-03,1,0,0,3,1,0,0,0,0,0,5
credebl/platform,2026-04,13,1,1,4,0,0,0,0,0,0,19
credebl/platform,2026-05,6,0,0,2,0,0,0,0,0,0,8
credebl/credo-controller,2024-05,1,1,3,2,0,0,0,0,0,0,7
credebl/credo-controller,2024-06,10,2,2,0,0,0,0,0,0,0,14
credebl/credo-controller,2024-07,2,1,3,1,1,0,0,0,0,0,8
credebl/credo-controller,2024-08,10,6,0,0,2,1,0,0,0,0,19
credebl/credo-controller,2025-03,16,10,5,3,0,0,1,0,0,0,35
credebl/credo-controller,2025-04,4,0,0,0,1,0,0,0,0,0,5
credebl/credo-controller,2025-05,0,0,0,0,0,0,1,0,0,0,1
credebl/credo-controller,2025-06,0,0,1,0,1,0,0,1,0,0,3
credebl/credo-controller,2025-07,4,2,4,4,0,0,0,0,0,0,14
credebl/credo-controller,2025-08,3,3,0,0,1,0,0,0,0,0,7
credebl/install,2025-04,9,1,0,0,0,0,0,0,0,0,10
credebl/install,2025-05,27,4,2,2,0,0,1,0,0,0,36
credebl/install,2025-08,11,3,2,2,0,1,0,0,0,0,19
credebl/install,2025-09,1,0,0,0,0,0,0,0,0,0,1
credebl/install,2025-10,1,1,2,1,0,0,0,1,0,0,6
credebl/install,2025-11,4,0,2,2,0,0,0,0,0,0,8
credebl/install,2025-12,7,0,0,0,0,0,0,0,0,0,7
credebl/install,2026-04,7,1,2,0,0,0,0,0,0,0,10
credebl/install,2026-05,2,0,1,1,0,0,0,0,0,0,4
credebl/studio,2025-01,0,0,0,0,3,0,0,0,0,0,3
credebl/studio,2025-03,0,0,0,0,1,0,0,0,0,0,1
credebl/studio,2025-04,0,0,0,0,0,0,1,0,0,0,1
credebl/studio,2025-05,2,2,2,1,1,0,1,0,0,0,9
credebl/studio,2025-06,9,6,2,0,2,0,0,1,0,0,20
credebl/studio,2025-07,8,5,0,0,2,0,0,0,0,0,15
credebl/studio,2025-08,0,0,0,0,3,0,0,0,0,0,3
credebl/studio,2025-09,2,0,3,1,2,0,0,0,0,0,8
credebl/studio,2025-12,1,0,0,0,0,0,0,0,0,0,1
credebl/studio,2026-03,0,0,0,0,1,0,0,0,0,0,1
credebl/terraform-scripts,2024-11,0,1,0,0,0,0,0,0,0,0,1
credebl/terraform-scripts,2025-01,4,2,2,1,0,0,0,0,0,0,9
credebl/terraform-scripts,2025-04,29,1,2,0,0,0,0,0,0,0,32
credebl/terraform-scripts,2025-11,1,0,0,1,1,0,0,0,0,0,3
credebl/mediator-agent,2024-05,0,1,0,0,0,0,0,0,0,0,1
credebl/mediator-agent,2024-06,2,1,1,0,0,0,0,0,0,0,4
credebl/mediator-agent,2024-08,1,0,0,0,0,0,0,0,0,0,1
credebl/nats,2026-03,4,0,0,0,0,0,0,0,0,0,4
credebl/nats,2026-04,1,0,0,0,0,0,0,0,0,0,1
credebl/docs,2024-09,0,0,0,0,1,0,0,0,0,0,1
credebl/platform-admin,2026-03,0,0,0,0,1,0,0,0,0,0,1
