repo,month,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssuesEvent,CreateEvent,IssueCommentEvent,DeleteEvent,ForkEvent,total
hiero-ledger/hiero-consensus-node,2025-02,32,5,19,2,2,2,0,1,0,63
hiero-ledger/hiero-consensus-node,2025-03,35,27,15,5,3,3,1,1,0,90
hiero-ledger/hiero-consensus-node,2025-04,27,27,13,10,4,5,1,3,0,90
hiero-ledger/hiero-consensus-node,2025-05,14,28,5,6,4,5,3,3,0,68
hiero-ledger/hiero-consensus-node,2025-06,28,29,16,8,5,2,3,2,0,93
hiero-ledger/hiero-consensus-node,2025-07,27,19,13,5,13,3,3,2,0,85
hiero-ledger/hiero-consensus-node,2025-08,11,1,3,1,0,1,0,0,0,17
hiero-ledger/hiero-consensus-node,2025-09,12,3,3,4,3,5,1,2,0,33
hiero-ledger/hiero-consensus-node,2025-10,6,7,6,4,0,0,1,0,0,24
hiero-ledger/hiero-consensus-node,2025-11,12,5,4,5,2,3,2,1,0,34
hiero-ledger/hiero-consensus-node,2025-12,12,8,4,3,11,1,1,1,0,41
hiero-ledger/hiero-consensus-node,2026-01,12,8,6,5,1,1,1,1,0,35
hiero-ledger/hiero-improvement-proposals,2025-04,0,0,0,0,0,0,1,0,0,1
hiero-ledger/hiero-improvement-proposals,2025-07,5,0,1,1,0,0,0,0,0,7
hiero-ledger/hiero-improvement-proposals,2025-08,1,2,1,0,0,1,0,0,0,5
hiero-ledger/hiero-improvement-proposals,2025-10,5,0,2,0,0,0,0,0,0,7
hiero-ledger/hiero-improvement-proposals,2025-11,1,6,1,0,0,1,1,0,0,10
hiero-ledger/hiero-improvement-proposals,2026-01,0,0,0,1,0,0,0,0,0,1
hyperledger/besu,2022-11,0,0,0,2,1,0,1,0,1,5
hyperledger/besu,2022-12,0,0,0,2,0,0,2,0,0,4
hiero-ledger/governance,2025-03,2,0,0,0,0,0,0,0,0,2
hiero-ledger/governance,2025-05,3,0,0,0,0,0,0,0,0,3
hiero-ledger/governance,2025-10,1,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2026-03,1,0,0,0,0,0,0,0,0,1
