repo,month,PullRequestEvent,IssueCommentEvent,IssuesEvent,ForkEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,total
hyperledger/fabric,2024-01,15,11,6,2,0,0,34
hyperledger/fabric,2024-02,3,0,0,0,0,0,3
hyperledger/fabric,2024-03,1,0,0,0,0,0,1
hyperledger/fabric,2024-04,4,1,2,0,0,0,7
hyperledger/fabric-chaincode-java,2024-03,3,0,1,0,1,1,6
hyperledger/fabric-chaincode-java,2024-04,1,3,2,0,0,0,6
hyperledger/fabric-chaincode-java,2024-05,3,2,0,0,0,0,5
hyperledger/fabric-chaincode-java,2024-06,1,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2024-01,2,0,0,0,0,0,2
hyperledger-labs/fabric-operations-console,2024-02,1,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2024-03,1,2,0,0,0,0,3
hyperledger-labs/fabric-operations-console,2024-04,5,0,0,0,0,0,5
hyperledger-labs/fabric-operations-console,2024-05,0,1,0,0,0,0,1
hyperledger/fabric-ca,2024-01,3,2,2,0,0,0,7
hyperledger/fabric-ca,2024-04,1,2,0,0,0,0,3
hyperledger-labs/fabric-operator,2024-01,2,0,0,1,0,0,3
hyperledger-labs/fabric-operator,2024-03,1,0,0,0,0,0,1
hyperledger-labs/fabric-operator,2024-04,3,1,0,0,0,0,4
hyperledger/fabric-contract-api-go,2024-05,1,0,0,1,0,0,2
hyperledger/fabric-sdk-java,2024-03,0,0,0,1,0,0,1
hyperledger/fabric-test,2024-05,1,0,0,0,0,0,1
