repo,month,PushEvent,PullRequestEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,IssueCommentEvent,CreateEvent,ForkEvent,total
openwallet-foundation-labs/sd-jwt-python,2023-08,2,2,0,1,1,0,0,6
openwallet-foundation-labs/sd-jwt-python,2023-09,0,1,0,0,1,1,0,3
openwallet-foundation-labs/sd-jwt-python,2023-10,6,5,6,3,1,1,0,22
openwallet-foundation-labs/sd-jwt-python,2023-12,1,1,0,1,0,0,0,3
openwallet-foundation-labs/sd-jwt-python,2024-03,1,1,1,1,0,1,0,5
openwallet-foundation-labs/sd-jwt-python,2024-05,4,0,1,1,0,0,0,6
openwallet-foundation/project-proposals,2023-05,0,1,0,0,0,0,1,2
openwallet-foundation/tac,2024-06,0,1,0,0,0,0,1,2
openwallet-foundation-labs/sd-jwt-kotlin,2024-06,0,0,0,0,1,0,0,1
