repo,month,PushEvent,PullRequestEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,CreateEvent,IssueCommentEvent,DeleteEvent,ForkEvent,IssuesEvent,ReleaseEvent,total
openwallet-foundation/helm-charts,2025-06,1,0,2,0,1,0,0,0,0,0,4
openwallet-foundation/helm-charts,2025-07,1,7,0,0,1,1,1,0,0,1,12
openwallet-foundation/helm-charts,2025-08,4,17,7,8,0,1,0,0,0,0,37
openwallet-foundation/helm-charts,2025-09,12,6,0,0,3,2,0,0,0,0,23
openwallet-foundation/helm-charts,2025-10,1,1,1,0,0,1,0,0,0,0,4
openwallet-foundation/helm-charts,2025-11,24,2,2,3,2,3,2,0,1,0,39
openwallet-foundation/helm-charts,2025-12,8,3,4,0,2,0,1,0,0,0,18
openwallet-foundation/helm-charts,2026-01,4,1,2,1,2,0,0,0,0,0,10
openwallet-foundation/helm-charts,2026-02,10,6,9,4,3,1,0,0,1,0,34
openwallet-foundation/helm-charts,2026-03,2,0,1,0,1,0,0,0,0,0,4
openwallet-foundation/helm-charts,2026-04,6,2,0,0,2,0,3,0,0,0,13
openwallet-foundation/acapy-vc-authn-oidc,2025-01,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-vc-authn-oidc,2025-02,0,1,0,0,0,1,0,1,1,0,4
openwallet-foundation/acapy-vc-authn-oidc,2025-03,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation/acapy-vc-authn-oidc,2025-08,0,4,1,1,0,1,0,0,0,0,7
openwallet-foundation/acapy-vc-authn-oidc,2025-09,0,2,0,0,0,0,0,0,0,0,2
openwallet-foundation/acapy-vc-authn-oidc,2025-11,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/acapy,2025-02,0,0,0,0,0,0,0,1,0,0,1
openwallet-foundation/acapy,2025-03,0,0,3,3,0,0,0,0,0,0,6
openwallet-foundation/acapy-endorser-service,2025-02,0,1,0,0,0,0,0,1,0,0,2
openwallet-foundation/acapy-endorser-service,2025-11,0,0,0,0,0,1,0,0,0,0,1
