repo,month,PullRequestEvent,PullRequestReviewEvent,PushEvent,ForkEvent,CreateEvent,DeleteEvent,IssueCommentEvent,total
hyperledger-labs/fabric-debugger,2024-08,2,0,0,1,0,0,0,3
hyperledger-labs/fabric-debugger,2024-09,2,1,1,0,0,0,0,4
hyperledger-labs/fabric-debugger,2024-10,4,1,1,0,0,0,0,6
hyperledger-labs/fabric-debugger,2024-11,5,1,1,0,1,1,0,9
hyperledger-labs/fabric-debugger,2024-12,2,3,1,0,0,0,0,6
hyperledger-labs/fabric-debugger,2025-01,3,2,1,0,0,0,0,6
hyperledger-labs/fabric-debugger,2025-02,1,0,1,0,0,0,0,2
hyperledger-labs/fabric-debugger,2025-04,2,1,1,0,0,0,0,4
hyperledger-labs/hyperledger-labs.github.io,2024-08,3,0,0,1,0,0,1,5
hyperledger/fabric-samples,2024-06,1,0,0,1,0,0,0,2
