repo,month,PushEvent,PullRequestEvent,CreateEvent,PullRequestReviewEvent,IssuesEvent,IssueCommentEvent,PullRequestReviewCommentEvent,DeleteEvent,total
openwallet-foundation-labs/tsp,2024-06,12,12,3,9,1,1,1,1,40
openwallet-foundation-labs/tsp,2024-07,54,21,10,3,6,3,0,0,97
openwallet-foundation-labs/tsp,2024-08,28,25,10,0,5,0,0,0,68
openwallet-foundation-labs/tsp,2024-09,11,6,1,5,2,0,2,0,27
openwallet-foundation/project-proposals,2024-05,0,0,0,1,0,0,1,0,2
openwallet-foundation/tac,2024-06,0,0,0,0,0,1,0,0,1
