repo,month,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,IssuesEvent,DeleteEvent,CreateEvent,ReleaseEvent,ForkEvent,WatchEvent,CommitCommentEvent,total
hyperledger/aries-toolbox,2021-01,0,3,0,1,0,0,0,0,0,0,0,0,4
hyperledger/aries-toolbox,2021-02,0,2,2,1,1,1,1,1,0,0,0,0,9
hyperledger/aries-toolbox,2021-03,0,10,0,4,0,1,0,0,0,0,0,0,15
hyperledger/aries-toolbox,2021-04,1,2,0,1,0,0,0,0,0,0,0,0,4
hyperledger/aries-toolbox,2021-05,0,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-toolbox,2021-06,9,22,16,19,0,8,16,0,0,0,0,0,90
hyperledger/aries-toolbox,2021-07,5,6,4,5,0,1,0,0,0,0,0,0,21
hyperledger/aries-toolbox,2021-08,3,1,1,1,0,0,0,0,0,0,0,0,6
hyperledger/aries-toolbox,2021-09,0,2,6,2,20,0,2,0,0,0,0,0,32
hyperledger/aries-toolbox,2021-10,3,2,0,0,0,0,1,0,0,0,0,0,6
hyperledger/aries-toolbox,2021-12,0,4,4,5,0,0,0,0,0,0,0,0,13
hyperledger/aries-toolbox,2022-01,9,19,12,14,3,2,2,0,0,0,0,0,61
hyperledger/aries-toolbox,2022-02,0,0,9,1,15,0,0,0,0,0,0,0,25
hyperledger/aries-toolbox,2022-03,1,3,5,6,3,0,0,0,0,0,0,0,18
hyperledger/aries-toolbox,2022-04,0,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/aries-toolbox,2022-08,0,1,1,1,0,0,0,0,0,0,0,0,3
hyperledger/aries-toolbox,2022-11,0,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/aries-toolbox,2023-03,5,10,2,1,0,0,6,0,0,0,0,0,24
hyperledger/aries-toolbox,2023-09,0,1,0,0,0,1,0,1,0,0,0,0,3
hyperledger/aries-acapy-plugin-toolbox,2019-11,0,3,0,0,1,0,0,0,0,1,0,0,5
hyperledger/aries-acapy-plugin-toolbox,2020-01,0,4,0,1,0,0,1,1,0,0,0,0,7
hyperledger/aries-acapy-plugin-toolbox,2020-02,5,10,0,1,2,0,0,0,0,0,0,0,18
hyperledger/aries-acapy-plugin-toolbox,2020-03,1,5,0,1,0,0,0,0,0,0,0,0,7
hyperledger/aries-acapy-plugin-toolbox,2020-09,0,1,1,1,0,1,0,0,0,0,0,0,4
hyperledger/aries-acapy-plugin-toolbox,2020-10,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-acapy-plugin-toolbox,2020-12,5,8,0,4,0,1,4,8,3,0,0,0,33
hyperledger/aries-acapy-plugin-toolbox,2021-01,1,1,0,0,0,0,0,0,0,0,0,0,2
hyperledger/aries-acapy-plugin-toolbox,2021-02,4,7,0,4,0,2,0,0,0,0,0,0,17
hyperledger/aries-acapy-plugin-toolbox,2021-03,1,2,0,1,0,0,0,0,0,0,0,0,4
hyperledger/aries-acapy-plugin-toolbox,2021-05,0,5,0,2,0,0,2,1,1,0,0,0,11
hyperledger/aries-acapy-plugin-toolbox,2021-06,2,24,3,18,0,0,2,3,1,0,0,0,53
hyperledger/aries-acapy-plugin-toolbox,2021-07,4,7,2,5,0,0,0,1,0,0,0,0,19
hyperledger/aries-acapy-plugin-toolbox,2021-08,3,8,5,4,5,0,1,0,0,0,0,0,26
hyperledger/aries-acapy-plugin-toolbox,2021-09,1,6,12,4,6,0,0,0,0,0,0,0,29
hyperledger/aries-acapy-plugin-toolbox,2021-10,3,5,8,6,0,0,0,0,0,0,0,0,22
hyperledger/aries-acapy-plugin-toolbox,2021-11,1,5,5,4,4,0,0,0,0,0,0,0,19
hyperledger/aries-acapy-plugin-toolbox,2021-12,1,2,2,2,0,0,0,0,0,0,0,0,7
hyperledger/aries-acapy-plugin-toolbox,2022-01,1,6,3,5,0,0,0,1,0,0,0,0,16
hyperledger/aries-acapy-plugin-toolbox,2022-03,2,2,3,3,0,0,0,0,0,0,0,0,10
hyperledger/aries-acapy-plugin-toolbox,2022-04,0,4,2,3,0,0,0,0,0,0,0,0,9
