repo,month,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,PullRequestReviewEvent,PushEvent,DeleteEvent,CreateEvent,IssuesEvent,ForkEvent,WatchEvent,MemberEvent,total
hyperledger/indy-plenum,2018-02,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/indy-plenum,2018-03,1,4,2,0,0,0,0,0,0,0,0,7
hyperledger/indy-plenum,2018-04,3,3,5,0,0,0,0,0,0,0,0,11
hyperledger/indy-plenum,2018-05,28,7,28,0,0,0,0,0,0,0,0,63
hyperledger/indy-plenum,2018-06,17,3,8,0,0,0,0,0,0,0,0,28
hyperledger/indy-plenum,2018-07,25,2,2,0,0,0,0,0,0,0,0,29
hyperledger/indy-plenum,2018-08,13,10,3,0,0,0,0,0,0,0,0,26
hyperledger/indy-plenum,2018-09,14,1,0,0,0,0,0,0,0,0,0,15
hyperledger/indy-plenum,2018-10,17,6,1,0,0,0,0,0,0,0,0,24
hyperledger/indy-plenum,2018-11,25,3,3,0,0,0,0,0,0,0,0,31
hyperledger/indy-plenum,2018-12,35,6,2,0,0,0,0,0,0,0,0,43
hyperledger/indy-plenum,2019-01,9,6,0,0,0,0,0,0,0,0,0,15
hyperledger/indy-plenum,2019-02,12,8,2,0,0,0,0,0,0,0,0,22
hyperledger/indy-plenum,2019-03,3,3,0,0,0,0,0,0,0,0,0,6
hyperledger/indy-plenum,2019-04,0,8,3,0,0,0,0,0,0,0,0,11
hyperledger/indy-plenum,2019-05,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-plenum,2019-06,2,6,3,0,0,0,0,0,0,0,0,11
hyperledger/indy-plenum,2019-07,5,11,2,0,3,0,0,0,0,0,0,21
hyperledger/indy-plenum,2019-08,21,15,3,0,7,0,0,0,0,0,0,46
hyperledger/indy-plenum,2019-09,16,12,3,0,5,0,0,0,0,0,0,36
hyperledger/indy-plenum,2019-10,7,14,11,0,6,0,0,0,0,0,0,38
hyperledger/indy-plenum,2019-11,8,14,2,0,3,0,0,0,0,0,0,27
hyperledger/indy-plenum,2019-12,3,18,6,0,9,0,0,0,0,0,0,36
hyperledger/indy-plenum,2020-01,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-plenum,2020-03,0,1,2,0,0,0,0,0,0,0,0,3
hyperledger/indy-plenum,2020-05,0,4,0,0,2,0,1,0,0,0,0,7
hyperledger/indy-plenum,2020-07,0,1,2,0,1,0,0,0,0,0,0,4
hyperledger/indy-plenum,2020-08,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-plenum,2020-11,0,1,1,0,1,0,0,0,0,0,0,3
hyperledger/indy-plenum,2021-01,0,1,2,2,0,0,0,1,0,0,0,6
hyperledger/indy-plenum,2021-02,4,3,7,8,1,0,0,0,0,0,0,23
hyperledger/indy-plenum,2021-03,4,3,14,8,1,0,0,0,0,0,0,30
hyperledger/indy-plenum,2021-04,1,1,6,4,1,0,0,3,0,0,0,16
hyperledger/indy-plenum,2021-09,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-node,2018-02,0,0,0,0,0,0,0,0,1,0,0,1
hyperledger/indy-node,2018-03,2,5,0,0,0,0,0,0,0,0,0,7
hyperledger/indy-node,2018-04,21,6,3,0,0,0,0,0,0,0,0,30
hyperledger/indy-node,2018-05,0,8,4,0,0,0,0,0,0,0,0,12
hyperledger/indy-node,2018-06,0,5,1,0,0,0,0,0,0,0,0,6
hyperledger/indy-node,2018-07,0,1,1,0,0,0,0,0,0,0,0,2
hyperledger/indy-node,2018-08,4,7,3,0,0,0,0,0,0,0,0,14
hyperledger/indy-node,2018-09,0,2,1,0,0,0,0,0,0,0,0,3
hyperledger/indy-node,2018-10,2,5,0,0,0,0,0,0,0,0,0,7
hyperledger/indy-node,2018-11,0,6,1,0,0,0,0,0,0,0,0,7
hyperledger/indy-node,2018-12,0,4,2,0,0,0,0,0,0,0,0,6
hyperledger/indy-node,2019-01,0,9,1,0,0,0,0,0,0,0,0,10
hyperledger/indy-node,2019-02,3,4,2,0,0,0,0,0,0,0,0,9
hyperledger/indy-node,2019-03,2,2,1,0,0,0,0,0,0,0,0,5
hyperledger/indy-node,2019-04,0,6,0,0,0,0,0,0,0,0,0,6
hyperledger/indy-node,2019-05,3,7,1,0,0,0,0,0,0,0,0,11
hyperledger/indy-node,2019-06,0,6,7,0,0,0,0,0,0,0,0,13
hyperledger/indy-node,2019-07,0,10,5,0,4,1,1,0,0,0,0,21
hyperledger/indy-node,2019-08,2,11,3,0,4,0,0,0,0,0,0,20
hyperledger/indy-node,2019-09,0,9,0,0,5,1,1,0,0,0,0,16
hyperledger/indy-node,2019-10,0,17,2,0,7,1,1,0,0,0,0,28
hyperledger/indy-node,2019-11,2,11,4,0,4,0,0,0,0,0,0,21
hyperledger/indy-node,2019-12,1,15,5,0,9,0,0,0,0,0,0,30
hyperledger/indy-node,2020-01,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-node,2020-03,0,2,0,0,2,0,0,0,0,0,0,4
hyperledger/indy-node,2020-05,0,3,0,0,1,0,1,0,0,0,0,5
hyperledger/indy-node,2020-06,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger/indy-node,2020-08,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/indy-node,2020-11,2,0,2,5,0,0,0,0,0,0,0,9
hyperledger/indy-node,2020-12,0,1,4,4,1,0,0,0,0,0,0,10
hyperledger/indy-node,2021-01,0,2,0,0,0,0,0,0,0,0,0,2
hyperledger/indy-node,2021-02,11,15,11,22,8,0,0,0,0,0,0,67
hyperledger/indy-node,2021-03,4,2,8,6,0,0,0,0,0,0,0,20
hyperledger/indy-node,2021-04,1,3,4,2,1,0,0,3,0,0,0,14
hyperledger/indy-node,2023-11,14,0,2,14,0,0,0,0,0,0,0,30
hyperledger/indy-node,2023-12,6,0,2,7,0,0,0,0,0,0,0,15
hyperledger/indy-node,2024-02,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger/indy-besu,2024-01,4,1,0,4,1,0,1,0,0,1,0,12
