repo,month,PushEvent,PullRequestEvent,DeleteEvent,IssueCommentEvent,CreateEvent,IssuesEvent,PullRequestReviewEvent,total
LFDT-Minokawa/compact,2026-01,1,1,0,0,0,0,1,3
LFDT-Minokawa/compact,2026-02,4,3,3,1,1,2,0,14
LFDT-Minokawa/compact,2026-03,1,0,0,2,1,0,0,4
