repo,month,PushEvent,PullRequestEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssuesEvent,CreateEvent,IssueCommentEvent,total
hyperledger-labs/fabric-smart-client,2025-04,0,0,0,0,0,0,1,1
hyperledger-labs/fabric-smart-client,2025-05,29,9,2,1,5,11,0,57
hyperledger-labs/fabric-smart-client,2025-06,4,2,1,0,0,1,0,8
hyperledger-labs/fabric-smart-client,2025-08,9,2,3,0,0,2,1,17
hyperledger-labs/fabric-smart-client,2025-09,0,0,2,1,0,0,0,3
hyperledger-labs/fabric-smart-client,2025-10,0,0,1,0,0,0,0,1
hyperledger-labs/fabric-smart-client,2025-11,0,0,5,5,0,0,0,10
hyperledger-labs/fabric-smart-client,2025-12,0,1,2,1,0,0,0,4
hyperledger-labs/fabric-smart-client,2026-01,1,0,1,0,0,0,0,2
hyperledger-labs/fabric-smart-client,2026-02,2,13,1,6,4,0,0,26
hyperledger-labs/fabric-smart-client,2026-03,1,1,4,1,0,0,0,7
hyperledger-labs/fabric-smart-client,2026-04,2,5,1,2,4,0,3,17
hyperledger-labs/fabric-smart-client,2026-05,6,0,4,3,5,1,0,19
hyperledger-labs/fabric-token-sdk,2025-03,6,0,0,0,0,0,0,6
hyperledger-labs/fabric-token-sdk,2025-05,10,3,1,0,0,2,0,16
hyperledger-labs/fabric-token-sdk,2025-07,0,0,1,0,0,0,0,1
hyperledger-labs/fabric-token-sdk,2025-08,6,0,1,0,0,0,0,7
hyperledger/fabric-x,2026-02,0,0,0,1,0,0,0,1
