repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,PushEvent,CreateEvent,IssueCommentEvent,IssuesEvent,ReleaseEvent,DeleteEvent,ForkEvent,WatchEvent,total
hyperledger-labs/yui-relayer,2021-06,0,0,0,0,0,0,0,0,0,0,1,1
hyperledger-labs/yui-relayer,2021-07,15,10,5,3,0,0,3,0,2,1,0,39
hyperledger-labs/yui-relayer,2021-08,1,0,1,0,0,0,0,0,0,0,0,2
hyperledger-labs/yui-relayer,2021-09,1,0,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/yui-relayer,2021-11,1,0,1,1,0,0,0,0,1,0,0,4
hyperledger-labs/yui-relayer,2022-01,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/yui-relayer,2022-11,3,2,0,0,0,0,0,0,0,0,0,5
hyperledger-labs/yui-relayer,2022-12,0,0,0,0,0,1,1,0,0,0,0,2
hyperledger-labs/yui-relayer,2023-03,8,7,1,1,0,0,1,0,0,0,0,18
hyperledger-labs/yui-relayer,2023-04,0,0,0,0,1,0,0,0,0,0,0,1
hyperledger-labs/yui-relayer,2023-05,2,1,2,1,0,0,0,0,1,0,0,7
hyperledger-labs/yui-relayer,2023-06,0,0,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/yui-relayer,2023-07,8,9,5,3,2,1,0,0,0,0,0,28
hyperledger-labs/yui-relayer,2023-08,33,32,9,4,2,2,0,0,0,0,0,82
hyperledger-labs/yui-relayer,2023-09,21,15,5,5,2,2,0,0,0,0,0,50
hyperledger-labs/yui-relayer,2023-10,12,7,12,7,7,2,0,4,1,0,0,52
hyperledger-labs/yui-relayer,2023-11,15,7,8,5,1,1,0,2,0,0,0,39
hyperledger-labs/yui-relayer,2023-12,24,31,1,2,1,1,0,1,0,0,0,61
hyperledger-labs/yui-relayer,2024-01,18,15,4,4,3,0,0,3,0,0,0,47
hyperledger-labs/yui-relayer,2024-03,7,9,0,0,0,1,0,0,0,0,0,17
hyperledger-labs/yui-relayer,2024-04,9,6,6,2,1,0,0,1,0,0,0,25
hyperledger-labs/yui-relayer,2024-05,0,0,2,1,2,1,0,2,0,0,0,8
hyperledger-labs/yui-relayer,2024-06,0,0,2,1,1,1,0,1,0,0,0,6
hyperledger-labs/yui-relayer,2024-07,3,0,1,1,1,0,0,1,0,0,0,7
hyperledger-labs/yui-relayer,2024-08,17,16,3,3,3,0,0,3,0,0,0,45
hyperledger-labs/yui-relayer,2024-10,0,0,2,1,1,0,0,1,0,0,0,5
hyperledger-labs/yui-relayer,2024-11,1,0,1,1,0,1,0,0,0,0,0,4
hyperledger-labs/yui-relayer,2024-12,0,0,2,1,1,0,0,1,0,0,0,5
