repo,month,PullRequestEvent,PullRequestReviewEvent,IssueCommentEvent,PushEvent,IssuesEvent,PullRequestReviewCommentEvent,DeleteEvent,CreateEvent,ReleaseEvent,ForkEvent,CommitCommentEvent,total
hyperledger/aries-acapy-plugins,2023-10,10,10,5,0,12,11,0,0,0,1,0,49
hyperledger/aries-acapy-plugins,2023-11,13,1,12,10,5,1,1,0,0,0,0,43
hyperledger/aries-acapy-plugins,2023-12,7,8,3,4,3,5,0,0,0,0,0,30
hyperledger/aries-acapy-plugins,2024-01,12,15,9,11,1,5,2,0,0,0,0,55
hyperledger/aries-acapy-plugins,2024-02,44,33,6,32,1,1,2,0,0,0,0,119
hyperledger/aries-acapy-plugins,2024-03,94,27,15,21,4,6,0,0,0,0,0,167
hyperledger/aries-acapy-plugins,2024-04,25,3,3,0,0,1,0,0,0,0,0,32
hyperledger/aries-acapy-plugins,2024-05,101,8,20,12,2,2,0,0,0,0,0,145
hyperledger/aries-acapy-plugins,2024-06,105,14,19,17,0,0,0,0,0,0,0,155
hyperledger/aries-acapy-plugins,2024-07,159,20,49,16,3,6,1,0,0,0,0,254
hyperledger/aries-acapy-plugins,2024-08,102,19,11,18,6,0,2,2,2,0,0,162
hyperledger/aries-acapy-plugins,2024-09,78,14,5,9,1,7,0,0,0,0,0,114
hyperledger/aries-acapy-plugins,2024-10,27,19,5,20,0,0,0,0,0,0,0,71
openwallet-foundation/acapy,2024-10,27,23,21,16,4,6,6,0,0,0,0,103
openwallet-foundation/acapy,2024-11,26,26,33,24,7,2,10,0,0,0,0,128
openwallet-foundation/acapy,2024-12,38,41,54,19,4,13,7,1,2,0,0,179
openwallet-foundation/acapy,2025-01,42,50,32,33,10,11,9,1,0,0,0,188
openwallet-foundation/acapy,2025-02,31,22,28,21,9,7,8,0,0,0,0,126
openwallet-foundation/acapy,2025-03,39,36,28,29,9,1,4,1,0,0,0,147
openwallet-foundation/acapy,2025-04,6,13,15,5,1,3,3,0,0,0,0,46
openwallet-foundation/acapy,2025-05,21,25,7,17,4,3,7,0,0,0,0,84
openwallet-foundation/acapy,2025-06,19,19,16,13,1,1,9,0,0,0,0,78
openwallet-foundation/acapy,2025-07,17,10,8,9,4,3,1,0,0,0,0,52
openwallet-foundation/acapy,2025-08,3,6,6,4,0,1,2,0,0,0,0,22
openwallet-foundation/acapy,2025-09,5,8,5,7,0,1,5,0,0,0,0,31
openwallet-foundation/acapy,2025-10,2,8,8,8,0,0,5,0,0,0,0,31
openwallet-foundation/acapy,2025-11,1,9,11,8,0,0,6,0,0,0,0,35
openwallet-foundation/acapy,2025-12,6,5,11,12,0,3,7,0,0,0,0,44
openwallet-foundation/acapy,2026-01,1,4,5,10,0,0,3,0,0,0,0,23
openwallet-foundation/acapy,2026-02,0,3,0,2,1,0,1,0,0,0,0,7
openwallet-foundation/acapy,2026-03,1,3,5,9,5,1,0,0,0,0,0,24
openwallet-foundation/acapy,2026-04,0,2,0,1,1,0,3,0,0,0,0,7
openwallet-foundation/acapy-plugins,2024-10,59,24,4,24,3,1,0,2,2,0,0,119
openwallet-foundation/acapy-plugins,2024-11,43,18,0,18,2,1,0,0,0,0,0,82
openwallet-foundation/acapy-plugins,2024-12,65,15,5,16,2,1,0,0,1,0,0,105
openwallet-foundation/acapy-plugins,2025-01,115,11,21,13,0,5,0,2,2,0,0,169
openwallet-foundation/acapy-plugins,2025-02,50,9,9,7,0,4,0,1,1,0,0,81
openwallet-foundation/acapy-plugins,2025-03,60,6,9,8,1,0,0,0,1,0,0,85
openwallet-foundation/acapy-plugins,2025-04,20,15,4,8,1,2,3,0,0,0,0,53
openwallet-foundation/acapy-plugins,2025-05,31,32,3,31,1,2,0,0,0,0,0,100
openwallet-foundation/acapy-plugins,2025-06,95,13,3,5,1,0,0,0,0,0,0,117
openwallet-foundation/acapy-plugins,2025-07,41,16,2,18,0,1,0,0,0,0,0,78
openwallet-foundation/acapy-plugins,2025-08,50,17,7,14,1,0,0,0,0,0,0,89
openwallet-foundation/acapy-plugins,2025-09,60,3,0,2,0,2,0,1,0,0,0,68
