repo,month,PushEvent,PullRequestEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,CreateEvent,IssueCommentEvent,DeleteEvent,ForkEvent,IssuesEvent,WatchEvent,total
openwallet-foundation-labs/wallet-framework-dotnet,2023-11,1,1,0,0,1,0,0,0,0,0,3
openwallet-foundation-labs/wallet-framework-dotnet,2023-12,1,0,1,0,1,0,0,0,0,1,4
openwallet-foundation-labs/wallet-framework-dotnet,2024-01,9,6,1,0,4,0,0,0,0,0,20
openwallet-foundation-labs/wallet-framework-dotnet,2024-02,7,4,18,14,2,0,0,0,0,0,45
openwallet-foundation-labs/wallet-framework-dotnet,2024-03,3,2,5,2,1,0,0,0,0,0,13
openwallet-foundation-labs/wallet-framework-dotnet,2024-04,2,0,1,0,1,0,0,0,0,0,4
openwallet-foundation-labs/wallet-framework-dotnet,2024-05,0,0,1,0,0,0,0,0,0,0,1
openwallet-foundation-labs/wallet-framework-dotnet,2024-06,0,9,5,2,1,0,0,0,0,0,17
openwallet-foundation-labs/wallet-framework-dotnet,2024-07,12,9,2,0,4,0,1,0,0,0,28
openwallet-foundation-labs/wallet-framework-dotnet,2024-08,17,7,2,0,5,0,2,0,0,0,33
openwallet-foundation-labs/wallet-framework-dotnet,2024-09,2,10,0,0,4,0,0,0,0,0,16
openwallet-foundation-labs/wallet-framework-dotnet,2024-11,5,5,0,0,3,0,0,0,0,0,13
openwallet-foundation-labs/wallet-framework-dotnet,2025-01,4,2,1,0,1,0,0,0,0,0,8
openwallet-foundation-labs/wallet-framework-dotnet,2025-02,7,2,5,3,1,1,0,0,1,0,20
openwallet-foundation-labs/wallet-framework-dotnet,2025-03,11,15,5,10,5,2,0,0,0,0,48
openwallet-foundation-labs/wallet-framework-dotnet,2025-04,5,6,2,0,4,0,0,0,0,0,17
openwallet-foundation-labs/wallet-framework-dotnet,2025-05,20,7,4,0,3,0,0,0,0,0,34
openwallet-foundation-labs/wallet-framework-dotnet,2025-07,4,2,3,0,3,0,0,0,0,0,12
openwallet-foundation-labs/wallet-framework-dotnet,2025-08,0,1,8,18,1,0,0,0,0,0,28
openwallet-foundation-labs/wallet-framework-dotnet,2025-09,8,2,19,15,2,1,0,0,0,0,47
openwallet-foundation-labs/wallet-framework-dotnet,2025-10,2,2,3,4,1,0,0,0,0,0,12
openwallet-foundation-labs/wallet-framework-dotnet,2025-11,9,2,1,2,1,0,0,0,0,0,15
openwallet-foundation-labs/wallet-framework-dotnet,2026-02,2,1,1,0,0,0,0,0,0,0,4
openwallet-foundation-labs/wallet-framework-dotnet,2026-04,5,1,0,0,0,0,0,0,0,0,6
hyperledger/aries-framework-dotnet,2022-02,0,2,0,0,0,0,0,0,0,0,2
hyperledger/aries-framework-dotnet,2022-03,0,1,0,0,0,0,0,0,0,0,1
hyperledger/aries-framework-dotnet,2022-04,0,0,0,0,0,1,0,0,0,0,1
hyperledger/aries-framework-dotnet,2022-05,0,1,0,0,0,0,0,0,0,0,1
hyperledger/aries-framework-dotnet,2022-09,0,4,0,0,0,0,0,0,0,0,4
hyperledger/aries-framework-dotnet,2022-11,0,3,0,0,0,0,0,0,0,0,3
hyperledger/aries-framework-dotnet,2023-03,0,1,0,0,0,0,0,0,0,0,1
hyperledger/aries-agent-test-harness,2022-04,0,1,0,0,0,0,0,1,0,0,2
hyperledger/aries-agent-test-harness,2022-05,0,0,0,0,0,1,0,0,0,0,1
openwallet-foundation/tac,2024-12,0,1,0,0,0,0,0,1,0,0,2
