repo,month,PushEvent,PullRequestEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,CreateEvent,DeleteEvent,IssueCommentEvent,ReleaseEvent,IssuesEvent,total
hyperledger/firefly-cardano,2025-01,6,1,1,0,0,1,0,0,0,9
hyperledger/firefly-cardano,2025-02,17,10,1,0,4,6,0,0,0,38
hyperledger/firefly-cardano,2025-03,31,14,3,2,14,11,3,5,0,83
hyperledger/firefly-cardano,2025-04,8,1,1,0,1,0,2,0,0,13
hyperledger/firefly-cardano,2025-05,7,2,0,0,2,2,0,1,0,14
hyperledger/firefly-cardano,2025-06,0,0,0,0,0,0,1,0,0,1
hyperledger/firefly-cardano,2025-07,14,8,2,1,4,2,1,2,0,34
hyperledger/firefly-cardano,2025-08,0,0,1,0,0,0,0,0,0,1
hyperledger/firefly-cardano,2025-09,0,1,0,0,0,1,0,0,0,2
hyperledger/firefly,2024-11,0,2,0,0,0,0,1,0,0,3
hyperledger/firefly,2025-02,0,4,6,6,0,0,0,0,0,16
hyperledger/firefly,2025-03,0,0,10,11,0,0,1,0,1,23
hyperledger/firefly,2025-04,0,1,2,3,0,0,2,0,0,8
hyperledger/firefly,2025-05,0,2,2,2,0,0,2,0,0,8
hyperledger/firefly,2025-07,0,2,0,0,0,0,0,0,0,2
hyperledger/firefly-cli,2025-03,0,1,3,2,0,0,0,0,0,6
hyperledger/firefly-cli,2025-05,0,0,4,4,0,0,0,0,0,8
hyperledger/firefly-cli,2025-07,0,1,0,0,0,0,0,0,0,1
