repo,month,PullRequestReviewCommentEvent,PullRequestReviewEvent,IssuesEvent,PullRequestEvent,PushEvent,IssueCommentEvent,CreateEvent,DeleteEvent,WatchEvent,ForkEvent,MemberEvent,CommitCommentEvent,GollumEvent,total
hyperledger/fabric,2016-06,0,0,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric,2020-02,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2020-05,38,0,0,6,0,1,0,0,0,0,0,0,0,45
hyperledger/fabric,2020-06,51,0,0,7,0,5,0,0,0,0,0,0,0,63
hyperledger/fabric,2020-07,79,0,0,10,0,8,0,0,0,0,0,0,0,97
hyperledger/fabric,2020-08,27,1,0,7,0,7,0,0,0,0,0,0,0,42
hyperledger/fabric,2020-09,15,29,0,7,0,9,0,0,0,0,0,0,0,60
hyperledger/fabric,2020-10,37,31,0,6,0,8,0,0,0,0,0,0,0,82
hyperledger/fabric,2020-11,43,35,0,1,0,6,0,0,0,0,0,0,0,85
hyperledger/fabric,2021-01,1,2,0,0,0,0,0,0,0,0,0,0,0,3
hyperledger/fabric,2022-01,0,0,0,0,0,2,0,0,0,0,0,0,0,2
hyperledger/fabric,2022-07,3,2,3,7,0,0,0,0,1,0,0,0,0,16
hyperledger/fabric,2022-08,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric,2022-09,2,2,1,6,0,2,0,0,0,0,0,0,0,13
hyperledger/fabric,2022-10,0,0,0,5,0,1,0,0,0,0,0,0,0,6
hyperledger/fabric,2022-11,3,7,0,1,0,3,0,0,0,0,0,0,0,14
hyperledger/fabric,2022-12,0,0,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric,2023-01,8,11,2,13,0,4,0,0,0,0,0,0,0,38
hyperledger/fabric,2023-02,26,9,7,11,2,4,1,1,0,0,0,0,0,61
hyperledger/fabric,2023-03,1,2,1,6,0,4,0,0,0,0,0,0,0,14
hyperledger/fabric,2023-04,0,0,4,4,0,1,0,0,0,0,0,0,0,9
hyperledger/fabric,2023-05,35,20,22,6,3,11,0,0,0,0,0,0,0,97
hyperledger/fabric,2023-06,11,18,22,15,5,17,0,0,0,0,0,0,0,88
hyperledger/fabric,2023-07,10,10,1,0,0,1,0,0,0,0,0,0,0,22
hyperledger/fabric,2023-08,8,12,14,6,1,5,0,0,0,0,0,0,0,46
hyperledger/fabric,2023-09,2,2,1,0,0,3,0,0,0,0,0,0,0,8
hyperledger/fabric,2023-10,4,9,3,2,0,4,0,0,0,0,0,0,0,22
hyperledger/fabric,2023-11,33,18,3,3,2,6,0,0,0,0,0,0,0,65
hyperledger/fabric,2023-12,5,6,2,3,0,3,0,0,0,0,0,0,0,19
hyperledger/fabric,2024-01,20,15,4,3,2,3,0,0,0,0,0,0,0,47
hyperledger/fabric,2024-02,10,14,3,5,2,0,0,0,0,0,0,0,0,34
hyperledger/fabric,2024-03,17,15,15,13,2,6,0,0,0,0,0,0,0,68
hyperledger/fabric,2024-04,1,2,2,3,2,2,0,0,0,0,0,0,0,12
hyperledger/fabric,2024-05,3,6,2,4,1,5,0,0,0,0,0,0,0,21
hyperledger/fabric,2024-06,11,16,2,4,1,5,0,0,0,0,0,0,0,39
hyperledger/fabric,2024-07,0,1,3,1,2,2,0,0,0,0,0,0,0,9
hyperledger/fabric,2024-08,0,0,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric,2024-11,0,0,0,0,0,2,0,0,0,0,0,0,0,2
hyperledger/fabric,2025-01,0,2,0,6,2,0,0,0,0,0,0,0,0,10
hyperledger/fabric,2025-02,0,0,0,0,0,1,0,0,0,0,0,0,0,1
hyperledger/fabric,2025-04,0,0,0,1,0,1,0,0,0,0,0,0,0,2
hyperledger/fabric,2025-05,2,3,0,1,0,1,0,0,0,0,0,0,0,7
hyperledger/fabric,2025-08,11,6,0,2,0,4,0,0,0,0,0,0,0,23
hyperledger/fabric,2025-09,0,1,0,1,1,1,0,0,0,0,0,0,0,4
hyperledger/fabric,2026-01,0,2,0,0,0,0,0,0,0,0,0,0,0,2
hyperledger-labs/orion-server,2021-10,9,6,2,4,1,0,0,0,0,0,0,0,0,22
hyperledger-labs/orion-server,2021-11,85,64,32,23,10,9,0,0,0,0,1,0,0,224
hyperledger-labs/orion-server,2021-12,39,19,17,9,1,4,0,0,0,0,0,0,0,89
hyperledger-labs/orion-server,2022-01,48,22,21,11,3,2,0,0,1,0,0,0,0,108
hyperledger-labs/orion-server,2022-02,28,18,11,3,5,0,1,0,0,0,0,0,0,66
hyperledger-labs/orion-server,2022-03,29,30,8,11,11,2,0,0,0,0,0,0,0,91
hyperledger-labs/orion-server,2022-04,15,21,22,10,6,8,1,0,1,0,0,0,0,84
hyperledger-labs/orion-server,2022-05,10,25,11,12,7,5,1,1,0,0,0,0,0,72
hyperledger-labs/orion-server,2022-06,14,19,6,6,5,0,0,0,0,0,1,0,0,51
hyperledger-labs/orion-server,2022-07,32,28,20,13,12,1,2,0,0,0,0,0,0,108
hyperledger-labs/orion-server,2022-08,9,5,0,1,1,1,0,0,0,0,0,0,0,17
hyperledger-labs/orion-server,2022-09,0,1,1,1,1,0,1,0,0,0,1,0,0,6
hyperledger-labs/orion-server,2022-10,0,3,1,3,2,0,0,0,0,0,0,0,0,9
hyperledger-labs/orion-server,2022-11,2,6,7,9,2,3,0,0,0,0,0,0,0,29
hyperledger-labs/orion-server,2022-12,6,10,5,6,3,1,2,0,0,0,0,0,0,33
hyperledger-labs/orion-server,2023-01,2,3,9,5,3,1,1,0,0,0,0,0,0,24
hyperledger-labs/orion-server,2023-02,14,18,2,5,5,4,2,0,0,0,0,0,0,50
hyperledger-labs/orion-server,2023-03,8,4,0,1,0,2,0,0,0,0,0,0,0,15
hyperledger-labs/orion-server,2023-05,0,1,0,1,1,0,0,0,0,0,0,0,0,3
hyperledger-labs/orion-server,2023-06,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/orion-server,2023-08,0,1,0,1,1,0,0,0,0,0,0,0,0,3
hyperledger-labs/orion-server,2023-11,0,2,0,2,2,1,0,2,0,0,0,0,0,9
hyperledger-labs/orion-server,2024-07,0,3,0,3,4,1,0,2,0,0,0,0,0,13
hyperledger-labs/orion-server,2025-04,0,1,0,1,0,1,0,0,0,0,0,0,0,3
