repo,month,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,IssuesEvent,PullRequestEvent,IssueCommentEvent,CreateEvent,DeleteEvent,ForkEvent,WatchEvent,total
hiero-ledger/hiero-consensus-node,2025-03,9,0,9,0,3,6,0,0,1,0,28
hiero-ledger/hiero-consensus-node,2025-04,4,0,4,2,6,5,0,0,0,0,21
hiero-ledger/hiero-consensus-node,2025-05,6,0,6,2,4,5,0,0,0,0,23
hiero-ledger/hiero-consensus-node,2025-06,12,0,10,4,1,3,0,0,0,0,30
hiero-ledger/hiero-consensus-node,2025-07,10,6,14,2,4,2,2,0,0,0,40
hiero-ledger/hiero-consensus-node,2025-08,16,9,13,7,2,4,0,0,0,0,51
hiero-ledger/hiero-consensus-node,2025-09,7,14,2,6,3,3,0,2,0,0,37
hiero-ledger/hiero-consensus-node,2025-10,9,2,7,6,1,0,1,2,0,0,28
hiero-ledger/hiero-consensus-node,2025-11,5,20,5,12,4,3,5,3,0,0,57
hiero-ledger/hiero-consensus-node,2025-12,4,5,0,4,2,0,1,0,0,0,16
hiero-ledger/hiero-consensus-node,2026-01,3,9,3,4,4,1,1,0,0,0,25
hiero-ledger/hiero-consensus-node,2026-02,1,0,0,2,0,0,0,0,0,0,3
hiero-ledger/hiero-consensus-node,2026-03,2,10,2,1,0,0,1,1,0,0,17
hiero-ledger/hiero-consensus-node,2026-04,3,5,2,0,1,0,2,1,0,0,14
hiero-ledger/hiero-consensus-node,2026-05,0,13,0,0,0,0,3,1,0,0,17
hiero-ledger/hiero-improvement-proposals,2025-07,5,0,2,0,0,0,0,0,0,0,7
hiero-ledger/hiero-improvement-proposals,2025-10,1,0,1,0,0,0,0,0,0,0,2
hiero-ledger/hiero-improvement-proposals,2026-01,0,0,6,0,0,0,0,0,0,0,6
hiero-ledger/hiero-improvement-proposals,2026-03,0,0,1,0,0,0,0,0,0,0,1
hiero-ledger/solo,2026-04,0,0,0,3,0,0,0,0,0,0,3
hiero-ledger/hiero-mirror-node,2025-07,0,0,0,0,0,0,0,0,0,1,1
hiero-ledger/hiero-mirror-node,2025-08,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-gradle-conventions,2025-03,0,0,0,0,0,0,0,0,1,0,1
hiero-ledger/hiero-json-rpc-relay,2025-07,0,0,0,0,0,0,0,0,0,1,1
hiero-ledger/hiero-sdk-js,2025-06,0,0,0,0,0,1,0,0,0,0,1
