repo,month,PullRequestEvent,PullRequestReviewEvent,PushEvent,IssueCommentEvent,PullRequestReviewCommentEvent,ForkEvent,CreateEvent,DeleteEvent,IssuesEvent,ReleaseEvent,total
hyperledger-labs/fabric-ansible-collection,2024-03,2,0,0,1,0,0,0,0,0,0,3
hyperledger-labs/fabric-ansible-collection,2024-04,11,2,9,1,0,1,2,1,1,0,28
hyperledger-labs/fabric-ansible-collection,2024-05,2,0,2,0,0,0,0,0,0,0,4
hyperledger-labs/fabric-ansible-collection,2024-06,2,1,0,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-ansible-collection,2024-07,4,0,3,0,0,0,1,1,0,0,9
hyperledger-labs/fabric-ansible-collection,2024-08,3,0,3,0,0,0,4,3,0,0,13
hyperledger-labs/fabric-ansible-collection,2025-01,4,0,0,1,0,1,0,0,0,0,6
hyperledger-labs/fabric-operations-console,2024-07,0,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2024-09,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2024-12,2,3,1,0,0,0,0,0,0,0,6
hyperledger-labs/fabric-operations-console,2025-01,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2025-02,3,0,0,1,0,0,0,0,0,0,4
hyperledger-labs/fabric-operations-console,2025-03,0,2,0,0,2,0,0,0,0,0,4
hyperledger-labs/fabric-operations-console,2025-04,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2025-11,1,0,1,0,0,0,0,0,0,1,3
hyperledger-labs/fabric-operations-console,2025-12,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2026-01,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2026-02,0,1,1,0,0,0,0,0,0,0,2
hyperledger/fabric-chaincode-java,2024-05,0,6,0,0,5,1,0,0,0,0,12
hyperledger/fabric-chaincode-java,2025-04,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-chaincode-java,2026-01,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-sdk-py,2025-03,0,1,0,1,1,1,0,0,0,0,4
hyperledger/fabric-sdk-py,2025-04,1,2,0,2,1,0,0,0,0,0,6
hyperledger-labs/fabric-operator,2024-05,1,0,0,1,0,0,0,0,0,0,2
hyperledger-labs/fabric-operator,2025-02,0,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operator,2025-10,2,0,0,1,0,0,0,0,0,0,3
hyperledger-labs/fabric-operator,2025-12,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operator,2026-01,0,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-chaincode-builder,2025-07,1,1,1,0,0,1,0,0,0,0,4
hyperledger/fabric,2025-12,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric,2026-05,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/governance,2026-02,1,0,0,0,0,0,0,0,0,0,1
hyperledger/fabric-contract-api-go,2026-01,0,0,0,0,0,1,0,0,0,0,1
hyperledger/fabric-sdk-node,2025-03,0,0,0,0,0,1,0,0,0,0,1
