repo,month,PushEvent,CommitCommentEvent,PullRequestReviewEvent,IssueCommentEvent,PullRequestEvent,CreateEvent,DeleteEvent,total
pq-code-package/mlkem-native,2024-11,790,0,172,0,0,0,0,962
pq-code-package/mlkem-native,2024-12,1045,1083,928,0,0,0,0,3056
pq-code-package/mlkem-native,2025-01,1368,1356,1387,0,0,0,0,4111
pq-code-package/mlkem-native,2025-02,956,1000,566,0,0,0,0,2522
pq-code-package/mlkem-native,2025-03,1040,1070,409,0,0,0,0,2519
pq-code-package/mlkem-native,2025-04,603,602,113,0,0,0,0,1318
pq-code-package/mlkem-native,2025-05,682,675,252,0,0,0,0,1609
pq-code-package/mlkem-native,2025-06,235,242,98,0,0,0,0,575
pq-code-package/mlkem-native,2025-07,196,191,63,0,0,0,0,450
pq-code-package/mlkem-native,2025-08,162,155,147,0,0,0,0,464
pq-code-package/mlkem-native,2025-09,194,180,75,0,0,0,0,449
pq-code-package/mlkem-native,2025-10,306,228,182,0,0,0,0,716
pq-code-package/mlkem-native,2025-11,331,218,42,0,0,0,0,591
pq-code-package/mlkem-native,2025-12,494,372,124,0,0,0,0,990
pq-code-package/mlkem-native,2026-01,474,297,129,35,0,0,0,935
pq-code-package/mlkem-native,2026-02,220,148,95,35,0,0,0,498
pq-code-package/mlkem-native,2026-03,174,101,50,15,0,0,0,340
pq-code-package/mlkem-native,2026-04,273,102,24,6,0,0,0,405
pq-code-package/mlkem-native,2026-05,132,37,27,10,0,0,0,206
pq-code-package/mldsa-native,2025-05,511,531,198,0,0,0,0,1240
pq-code-package/mldsa-native,2025-06,123,140,281,0,0,0,0,544
pq-code-package/mldsa-native,2025-07,187,205,226,0,0,0,0,618
pq-code-package/mldsa-native,2025-08,71,72,73,0,0,0,0,216
pq-code-package/mldsa-native,2025-09,225,225,147,0,0,0,0,597
pq-code-package/mldsa-native,2025-10,217,195,125,0,0,0,0,537
pq-code-package/mldsa-native,2025-11,568,426,141,0,0,0,0,1135
pq-code-package/mldsa-native,2025-12,233,180,72,0,0,0,0,485
pq-code-package/mldsa-native,2026-01,356,254,74,19,0,0,0,703
pq-code-package/mldsa-native,2026-02,165,99,22,34,0,0,0,320
pq-code-package/mldsa-native,2026-03,75,39,25,8,0,0,0,147
pq-code-package/mldsa-native,2026-04,326,117,34,22,0,0,0,499
pq-code-package/mldsa-native,2026-05,309,55,50,22,0,0,0,436
pq-code-package/mlkem-c-aarch64,2024-09,295,0,0,0,0,0,0,295
pq-code-package/mlkem-c-aarch64,2024-10,549,0,0,0,0,0,0,549
pq-code-package/mlkem-c-aarch64,2024-11,184,0,0,0,0,0,0,184
PQCA/landscape,2025-02,2,0,1,0,9,4,3,19
PQCA/landscape,2025-03,0,0,0,0,1,1,0,2
PQCA/landscape,2025-04,0,0,0,0,5,6,0,11
