repo,month,PullRequestEvent,PullRequestReviewEvent,PushEvent,total
hyperledger-labs/fabric-debugger,2024-08,3,0,1,4
hyperledger-labs/fabric-debugger,2024-09,2,2,2,6
hyperledger-labs/fabric-debugger,2024-10,4,0,0,4
hyperledger-labs/fabric-debugger,2024-11,3,2,2,7
hyperledger-labs/fabric-debugger,2024-12,5,3,2,10
hyperledger-labs/fabric-debugger,2025-01,7,7,5,19
hyperledger-labs/fabric-debugger,2025-02,2,1,1,4
hyperledger-labs/fabric-debugger,2025-03,5,2,2,9
hyperledger-labs/fabric-debugger,2025-04,1,0,0,1
