repo,month,PullRequestReviewEvent,IssueCommentEvent,IssuesEvent,PullRequestEvent,PullRequestReviewCommentEvent,PushEvent,ForkEvent,DeleteEvent,total
hiero-ledger/hiero-sdk-python,2025-02,5,0,0,1,5,0,1,0,12
hiero-ledger/hiero-sdk-python,2025-03,1,0,0,0,1,0,0,0,2
hiero-ledger/hiero-sdk-python,2025-04,0,1,0,2,0,0,0,0,3
hiero-ledger/hiero-sdk-python,2025-05,0,2,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-python,2025-06,0,4,0,0,0,0,0,0,4
hiero-ledger/hiero-sdk-python,2025-08,0,1,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-python,2025-10,0,3,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-python,2025-11,1,1,0,0,1,0,0,0,3
hiero-ledger/hiero-sdk-python,2025-12,11,20,3,1,7,0,0,0,42
hiero-ledger/hiero-sdk-python,2026-01,32,12,12,3,5,0,0,0,64
hiero-ledger/hiero-sdk-python,2026-02,9,0,3,0,2,1,0,0,15
hiero-ledger/hiero-sdk-python,2026-03,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-sdk-python,2026-04,5,3,0,1,1,3,0,0,13
hiero-ledger/hiero-sdk-python,2026-05,1,1,1,0,1,8,0,2,14
hiero-ledger/hiero-website,2026-01,4,1,3,1,0,0,0,0,9
hiero-ledger/hiero-website,2026-02,11,2,8,8,1,1,1,1,33
hiero-ledger/hiero-website,2026-03,3,5,6,3,1,2,0,0,20
hiero-ledger/hiero-website,2026-04,8,1,4,6,0,2,0,1,22
hiero-ledger/hiero-website,2026-05,3,0,1,1,0,2,0,1,8
hyperledger/firefly,2024-12,0,1,0,0,0,0,0,0,1
hyperledger/firefly,2025-01,4,0,0,1,4,0,0,0,9
hyperledger/firefly,2025-03,0,3,1,5,0,0,0,0,9
hyperledger/firefly,2025-05,3,1,0,2,3,0,0,0,9
hyperledger/firefly,2025-06,1,1,0,0,1,0,0,0,3
hiero-ledger/hiero-sdk-cpp,2026-01,3,2,6,3,1,0,1,0,16
hiero-ledger/hiero-sdk-cpp,2026-02,4,4,0,1,1,0,0,0,10
hiero-ledger/hiero-sdk-cpp,2026-04,0,1,0,0,0,0,0,0,1
hyperledger/firefly-cli,2025-01,0,0,1,0,0,0,0,0,1
hyperledger/firefly-cli,2025-03,0,0,1,0,0,0,0,0,1
hyperledger/firefly-cli,2025-04,0,1,0,0,0,0,0,0,1
hyperledger/firefly-cli,2025-08,0,0,0,1,0,0,1,0,2
hyperledger/firefly-cli,2025-10,0,1,0,0,0,0,0,0,1
hyperledger/firefly-cli,2025-11,0,0,0,0,2,0,0,0,2
hyperledger/firefly-cli,2025-12,0,3,0,0,0,0,0,0,3
hiero-ledger/hiero-enterprise-java,2026-05,2,0,3,1,1,0,1,0,8
hiero-ledger/hiero-sdk-js,2025-12,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-sdk-js,2026-02,0,1,5,1,0,0,0,0,7
hiero-ledger/hiero,2025-04,3,0,0,0,3,0,0,0,6
LFDT-web3j/web3j,2025-03,1,1,0,0,0,0,0,0,2
LFDT-web3j/web3j,2025-08,0,1,0,0,0,0,0,0,1
LFDT-web3j/web3j,2025-10,0,1,0,0,0,0,0,0,1
LFDT-web3j/web3j,2025-11,0,1,0,0,0,0,0,0,1
hyperledger-web3j/web3j,2024-12,0,1,0,0,0,0,0,0,1
hyperledger-web3j/web3j,2025-01,0,1,0,0,0,0,0,0,1
hyperledger-web3j/web3j,2025-02,0,2,0,0,0,0,1,0,3
hiero-ledger/hiero-sdk-java,2025-12,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-sdk-java,2026-01,0,3,0,0,0,0,0,0,3
hyperledger-cello/cello,2025-01,0,3,0,0,0,0,0,0,3
hyperledger-cello/cello,2025-02,0,1,0,0,0,0,0,0,1
hiero-ledger/sdk-collaboration-hub,2026-04,0,0,3,0,0,0,0,0,3
hiero-ledger/tsc,2025-09,0,2,0,0,0,0,0,0,2
hyperledger/cello,2024-12,0,2,0,0,0,0,0,0,2
hiero-ledger/.github,2025-12,0,1,0,0,0,0,0,0,1
hiero-ledger/governance,2026-03,0,0,0,1,0,0,0,0,1
hiero-ledger/hiero-mirror-node,2026-01,0,1,0,0,0,0,0,0,1
