repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,IssueCommentEvent,PullRequestReviewCommentEvent,CreateEvent,IssuesEvent,DeleteEvent,total
hyperledger/iroha-java,2024-01,0,2,0,0,0,0,0,0,2
hyperledger/iroha-java,2024-02,0,1,0,0,0,0,0,0,1
hyperledger/iroha-java,2024-03,1,0,2,0,0,1,0,0,4
hyperledger/iroha-java,2024-04,0,6,0,0,4,0,0,0,10
hyperledger/iroha-java,2024-05,4,1,0,0,0,1,0,0,6
hyperledger/iroha-java,2024-06,0,0,2,0,0,0,0,0,2
hyperledger/iroha-java,2024-07,9,0,1,1,0,0,0,0,11
hyperledger/iroha-java,2024-08,1,0,0,0,0,1,0,0,2
hyperledger/iroha-java,2024-09,2,0,0,0,0,0,0,0,2
hyperledger/iroha-java,2024-10,17,3,2,1,2,0,1,1,27
hyperledger-iroha/iroha-java,2024-11,2,2,3,0,0,1,0,0,8
hyperledger/iroha,2024-07,0,0,0,4,0,0,1,0,5
hyperledger/iroha,2024-10,0,0,0,0,0,0,1,0,1
