repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,CreateEvent,PullRequestEvent,IssuesEvent,IssueCommentEvent,DeleteEvent,CommitCommentEvent,ForkEvent,total
hiero-ledger/hiero-mirror-node,2025-02,23,19,8,4,4,2,1,0,0,0,61
hiero-ledger/hiero-mirror-node,2025-03,74,53,37,12,7,9,3,3,0,0,198
hiero-ledger/hiero-mirror-node,2025-04,65,39,13,13,9,5,4,0,1,0,149
hiero-ledger/hiero-mirror-node,2025-05,67,41,30,1,4,3,5,0,0,0,151
hiero-ledger/hiero-mirror-node,2025-06,35,25,13,7,2,2,6,0,0,0,90
hiero-ledger/hiero-mirror-node,2025-07,13,9,4,3,5,2,4,2,0,0,42
hiero-ledger/hiero-mirror-node,2025-08,14,17,10,3,1,2,1,0,0,0,48
hiero-ledger/hiero-mirror-node,2025-09,6,4,4,1,1,1,0,0,0,0,17
hyperledger/web3j-gradle-plugin,2024-07,0,0,0,0,1,2,1,0,0,1,5
hiero-ledger/hiero-consensus-node,2025-04,0,0,0,0,0,1,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2025-07,0,0,0,0,0,0,1,0,0,0,1
hiero-ledger/hiero-local-node,2025-02,0,0,0,0,0,1,0,0,0,0,1
