repo,month,PullRequestReviewEvent,PullRequestEvent,PushEvent,CreateEvent,IssueCommentEvent,PullRequestReviewCommentEvent,DeleteEvent,WatchEvent,total
LFDT-Verii/core,2025-07,0,1,0,1,0,0,0,0,2
LFDT-Verii/core,2025-08,5,1,3,1,0,2,1,1,14
openwallet-foundation/credo-ts,2025-03,0,1,0,0,2,0,0,0,3
