repo,month,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,DeleteEvent,CreateEvent,CommitCommentEvent,total
LF-Decentralized-Trust-labs/Naryo,2025-06,0,0,0,0,0,0,1,1
LF-Decentralized-Trust-labs/Naryo,2025-07,16,11,8,8,1,4,0,48
LF-Decentralized-Trust-labs/Naryo,2025-08,9,6,5,6,4,3,0,33
LF-Decentralized-Trust-labs/Naryo,2025-09,8,3,2,5,4,2,0,24
LF-Decentralized-Trust-labs/Naryo,2025-10,18,14,9,1,4,2,0,48
