repo,month,IssuesEvent,IssueCommentEvent,PullRequestReviewEvent,total
hiero-ledger/hiero-cli,2025-10,10,0,0,10
hiero-ledger/hiero-cli,2025-11,7,0,0,7
hiero-ledger/hiero-cli,2025-12,9,1,0,10
hiero-ledger/hiero-cli,2026-01,1,1,0,2
hiero-ledger/hiero-cli,2026-02,2,0,1,3
hiero-ledger/hiero-cli,2026-03,2,0,1,3
hiero-ledger/hiero-cli,2026-05,2,1,0,3
