repo,month,PullRequestReviewEvent,IssueCommentEvent,GollumEvent,PullRequestReviewCommentEvent,PushEvent,IssuesEvent,ForkEvent,PullRequestEvent,WatchEvent,total
PQCA/TAC,2024-08,0,2,0,0,0,0,0,0,0,2
PQCA/TAC,2025-05,0,3,0,0,0,1,0,0,0,4
PQCA/TAC,2025-06,2,2,0,1,0,0,0,0,0,5
PQCA/TAC,2025-07,6,2,0,3,1,0,1,0,0,13
PQCA/TAC,2025-08,5,2,0,4,4,1,0,0,0,16
PQCA/TAC,2025-09,4,0,0,1,0,0,0,0,0,5
PQCA/TAC,2025-10,2,0,0,1,2,0,0,0,0,5
PQCA/TAC,2025-11,3,0,0,1,0,0,0,0,0,4
PQCA/TAC,2025-12,1,0,0,0,0,0,0,0,0,1
PQCA/TAC,2026-02,2,0,0,3,0,0,0,0,0,5
PQCA/TAC,2026-04,1,0,0,0,2,0,0,0,0,3
PQCA/wiki,2025-06,0,0,15,0,0,0,0,0,0,15
pq-code-package/mlkem-native,2024-12,0,2,0,0,0,2,0,0,0,4
pq-code-package/mlkem-native,2025-02,0,1,0,0,0,2,0,0,0,3
PQCA/governance,2025-07,0,1,0,0,0,0,0,0,0,1
PQCA/governance,2026-04,0,0,0,0,0,0,0,1,0,1
cbomkit/cbomkit,2026-04,0,0,0,0,0,0,0,1,0,1
open-quantum-safe/openssl,2022-07,0,0,0,0,0,0,1,0,0,1
open-quantum-safe/oqs-provider,2026-03,0,1,0,0,0,0,0,0,0,1
pq-code-package/mlkem-c-aarch64,2024-07,0,0,0,0,0,0,0,0,1,1
