repo,month,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,CreateEvent,IssuesEvent,DeleteEvent,IssueCommentEvent,ForkEvent,total
hiero-ledger/hiero-consensus-node,2025-02,16,23,2,4,2,2,2,0,0,51
hiero-ledger/hiero-consensus-node,2025-03,44,30,14,17,7,9,7,4,0,132
hiero-ledger/hiero-consensus-node,2025-04,19,19,13,6,2,2,3,0,0,64
hiero-ledger/hiero-consensus-node,2025-05,15,20,14,15,6,4,5,1,0,80
hiero-ledger/hiero-consensus-node,2025-06,13,13,8,3,3,2,1,1,0,44
hiero-ledger/hiero-consensus-node,2025-07,19,16,10,3,5,5,2,1,0,61
hiero-ledger/hiero-consensus-node,2025-08,6,19,13,5,2,4,2,0,0,51
hiero-ledger/hiero-consensus-node,2025-09,2,1,0,1,1,0,1,0,0,6
hiero-ledger/hiero-consensus-node,2025-10,12,1,10,7,2,2,1,0,0,35
hiero-ledger/hiero-consensus-node,2025-11,1,5,0,0,1,0,0,0,0,7
hiero-ledger/hiero-consensus-node,2025-12,12,2,0,6,5,1,2,0,0,28
hiero-ledger/hiero-consensus-node,2026-01,5,4,2,0,0,0,0,0,0,11
hiero-ledger/hiero-consensus-node,2026-02,7,8,7,3,3,1,2,0,0,31
hiero-ledger/hiero-consensus-node,2026-03,8,0,0,3,4,0,1,1,0,17
hiero-ledger/hiero-consensus-node,2026-04,1,2,0,2,0,0,0,0,0,5
hiero-ledger/hiero-consensus-node,2026-05,0,1,0,0,0,1,0,0,0,2
hiero-ledger/solo,2025-06,0,0,0,1,0,0,0,0,1,2
hiero-ledger/solo,2026-03,0,0,1,1,0,0,0,0,0,2
hiero-ledger/governance,2024-10,0,1,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-05,0,1,0,0,0,0,0,0,0,1
hiero-ledger/hiero,2024-11,0,0,0,1,0,0,0,0,1,2
