repo,month,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssuesEvent,CreateEvent,DeleteEvent,IssueCommentEvent,total
hiero-ledger/hiero-json-rpc-relay,2025-03,25,20,13,7,10,4,4,1,84
hiero-ledger/hiero-json-rpc-relay,2025-04,33,24,11,5,2,2,2,4,83
hiero-ledger/hiero-json-rpc-relay,2025-05,40,21,25,7,9,1,4,4,111
hiero-ledger/hiero-json-rpc-relay,2025-06,27,7,12,5,3,3,3,3,63
hiero-ledger/hiero-json-rpc-relay,2025-07,28,34,9,15,8,9,2,3,108
hiero-ledger/hiero-json-rpc-relay,2025-08,37,17,24,12,5,2,4,3,104
hiero-ledger/hiero-json-rpc-relay,2025-09,16,14,6,9,13,3,4,2,67
hiero-ledger/hiero-json-rpc-relay,2025-10,12,11,4,8,8,5,0,2,50
hiero-ledger/hiero-json-rpc-relay,2025-11,16,22,10,3,6,3,4,4,68
hiero-ledger/hiero-json-rpc-relay,2025-12,11,9,9,3,9,2,1,0,44
hiero-ledger/hiero-json-rpc-relay,2026-01,22,16,10,7,6,3,3,1,68
hiero-ledger/hiero-json-rpc-relay,2026-02,17,21,13,6,4,6,1,0,68
hiero-ledger/hiero-json-rpc-relay,2026-03,11,17,3,6,6,5,3,0,51
hiero-ledger/hiero-json-rpc-relay,2026-04,16,22,10,0,0,1,0,0,49
hiero-ledger/hiero-json-rpc-relay,2026-05,2,15,1,0,1,1,0,0,20
hiero-ledger/hiero-local-node,2025-02,23,30,0,28,4,7,23,3,118
hiero-ledger/hiero-local-node,2025-03,0,0,0,2,2,1,1,0,6
hiero-ledger/hiero-local-node,2025-04,6,1,0,2,2,1,0,0,12
hiero-ledger/hiero-local-node,2025-05,7,0,0,0,0,0,0,0,7
hiero-ledger/hiero-local-node,2025-06,0,1,0,1,1,1,1,0,5
hiero-ledger/hiero-mirror-node,2025-04,0,0,0,0,0,0,0,2,2
hiero-ledger/hiero-mirror-node,2025-07,0,0,0,0,0,0,0,3,3
hiero-ledger/hiero-contracts,2025-12,1,0,0,0,0,0,0,0,1
