repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,IssueCommentEvent,PullRequestEvent,CreateEvent,DeleteEvent,IssuesEvent,total
LFDT-Lockness/cggmp21,2024-09,6,2,0,0,0,0,0,0,8
LFDT-Lockness/cggmp21,2024-10,2,0,0,2,0,0,0,0,4
LFDT-Lockness/cggmp21,2024-11,1,0,0,0,0,0,0,0,1
LFDT-Lockness/cggmp21,2024-12,12,3,3,4,1,0,0,0,23
LFDT-Lockness/cggmp21,2025-01,8,9,9,2,4,1,2,0,35
LFDT-Lockness/cggmp21,2025-02,11,10,4,3,0,1,0,0,29
LFDT-Lockness/cggmp21,2025-03,1,1,1,0,0,0,0,0,3
LFDT-Lockness/cggmp21,2025-05,5,1,0,0,0,0,0,0,6
LFDT-Lockness/cggmp21,2025-06,3,4,3,0,1,2,1,0,14
LFDT-Lockness/cggmp21,2025-07,3,1,0,0,0,0,0,0,4
LFDT-Lockness/cggmp21,2025-08,13,9,0,0,0,0,0,0,22
LFDT-Lockness/cggmp21,2025-11,0,0,3,0,0,0,2,0,5
LFDT-Lockness/generic-ec,2024-09,1,0,0,0,0,0,0,0,1
LFDT-Lockness/generic-ec,2024-10,2,0,4,0,4,2,1,0,13
LFDT-Lockness/generic-ec,2024-12,5,4,5,7,3,2,0,0,26
LFDT-Lockness/generic-ec,2025-01,14,12,13,2,3,1,1,0,46
LFDT-Lockness/generic-ec,2025-02,1,0,0,1,0,0,0,0,2
LFDT-Lockness/generic-ec,2025-04,0,0,0,0,0,0,0,1,1
LFDT-Lockness/generic-ec,2026-04,1,1,0,1,0,0,0,0,3
LFDT-Lockness/generic-ec,2026-05,0,0,1,0,0,0,1,0,2
LFDT-Lockness/round-based,2024-09,1,0,0,0,0,0,0,0,1
LFDT-Lockness/round-based,2024-10,2,0,0,0,0,0,0,0,2
LFDT-Lockness/round-based,2024-11,11,6,0,0,0,0,0,0,17
LFDT-Lockness/round-based,2024-12,4,1,0,0,0,0,0,0,5
LFDT-Lockness/round-based,2025-01,0,0,3,1,1,1,1,0,7
LFDT-Lockness/round-based,2025-07,8,8,0,1,0,0,0,0,17
LFDT-Lockness/round-based,2025-09,2,0,0,0,0,0,0,0,2
LFDT-Lockness/fast-paillier,2024-10,2,0,0,0,0,0,0,0,2
LFDT-Lockness/fast-paillier,2025-04,4,0,0,1,0,0,0,0,5
LFDT-Lockness/fast-paillier,2025-10,4,2,12,0,1,1,1,0,21
LFDT-Lockness/fast-paillier,2025-11,4,4,4,0,1,0,2,0,15
LFDT-Lockness/fast-paillier,2026-05,0,0,0,0,0,1,0,0,1
LFDT-Lockness/hd-wallet,2024-10,6,3,0,2,0,0,0,0,11
LFDT-Lockness/hd-wallet,2024-11,7,8,0,0,0,0,0,0,15
LFDT-Lockness/hd-wallet,2024-12,5,2,0,0,0,0,0,0,7
LFDT-Lockness/generic-ecies,2025-01,10,11,0,3,0,0,0,0,24
LFDT-Lockness/generic-ecies,2026-04,1,1,0,1,0,0,0,0,3
LFDT-Lockness/generic-ecies,2026-05,0,0,1,0,0,0,0,0,1
LFDT-Lockness/givre,2024-10,4,0,0,0,0,0,0,0,4
LFDT-Lockness/givre,2024-11,1,0,0,0,0,0,0,0,1
LFDT-Lockness/givre,2024-12,5,2,0,0,0,0,0,0,7
LFDT-Lockness/givre,2026-05,0,0,1,0,0,0,0,0,1
LFDT-Lockness/slip-10,2024-09,3,3,0,2,0,0,0,0,8
LFDT-Lockness/slip-10,2024-10,3,0,0,2,0,0,0,0,5
LFDT-Lockness/governance,2024-11,0,0,0,0,1,1,1,0,3
LFDT-Lockness/governance,2026-04,1,0,0,0,0,0,0,0,1
LFDT-Lockness/rand_hash,2024-09,1,0,0,0,0,0,0,0,1
LFDT-Lockness/rand_hash,2024-10,2,0,0,0,0,0,0,0,2
LFDT-Lockness/rand_hash,2026-05,0,0,0,0,0,0,1,0,1
LFDT-Lockness/tecdh,2026-03,0,0,1,0,0,1,0,0,2
LFDT-Lockness/tecdh,2026-04,0,0,0,0,0,0,0,1,1
LFDT-Lockness/tecdh,2026-05,0,0,1,0,0,0,0,0,1
LFDT-Lockness/udigest,2024-09,1,0,0,0,0,0,0,0,1
LFDT-Lockness/udigest,2024-10,2,0,0,0,0,0,0,0,2
LFDT-Lockness/udigest,2025-12,1,0,0,0,0,0,0,0,1
LFDT-Lockness/paillier-zk,2024-09,1,0,0,0,0,0,0,0,1
LFDT-Lockness/paillier-zk,2024-10,2,0,0,0,0,0,0,0,2
LFDT-Lockness/stark-curve,2024-09,1,0,0,0,0,0,0,0,1
LFDT-Lockness/stark-curve,2024-10,2,0,0,0,0,0,0,0,2
