repo,month,PullRequestReviewEvent,IssuesEvent,PullRequestEvent,PushEvent,PullRequestReviewCommentEvent,total
hyperledger/fabric-docs-i18n,2025-05,10,6,6,4,5,31
hyperledger/fabric-docs-i18n,2025-06,0,1,0,1,0,2
hyperledger/fabric-docs-i18n,2025-08,0,1,1,1,0,3
hyperledger/fabric-docs-i18n,2025-09,1,1,1,0,0,3
