repo,month,GollumEvent,IssuesEvent,IssueCommentEvent,PushEvent,PullRequestEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,ForkEvent,CreateEvent,DeleteEvent,total
trustoverip/ctwg-general-glossary,2025-10,0,0,0,5,3,0,0,0,0,0,8
trustoverip/ctwg-general-glossary,2025-11,0,0,0,3,1,0,0,0,0,0,4
trustoverip/tswg-acdc-specification,2022-07,0,1,0,0,0,0,0,0,0,0,1
trustoverip/tswg-acdc-specification,2023-07,0,0,1,0,0,0,0,0,0,0,1
trustoverip/tswg-acdc-specification,2024-05,0,0,0,0,0,0,0,1,0,0,1
trustoverip/tswg-acdc-specification,2024-06,0,0,0,0,1,0,0,0,0,0,1
trustoverip/tswg-acdc-specification,2025-04,0,0,0,0,1,0,0,1,0,0,2
trustoverip/tswg-acdc-specification,2025-09,0,1,4,0,3,0,0,0,1,1,10
trustoverip/tswg-acdc-specification,2025-10,0,0,0,0,1,0,0,0,0,0,1
trustoverip/kswg-acdc-specification,2025-10,0,5,2,0,0,0,0,0,0,0,7
trustoverip/kswg-acdc-specification,2025-11,0,0,0,0,2,0,0,0,0,0,2
trustoverip/kswg-acdc-specification,2026-02,0,2,2,2,0,0,0,0,0,0,6
trustoverip/kswg-acdc-specification,2026-03,0,1,0,0,0,0,0,0,0,0,1
trustoverip/kerisuite-glossary,2025-09,0,0,0,4,0,0,0,0,0,0,4
trustoverip/kerisuite-glossary,2025-10,0,0,0,3,5,0,0,0,0,0,8
trustoverip/kerisuite-glossary,2025-11,0,0,0,3,0,0,0,0,0,0,3
trustoverip/kswg-cesr-specification,2025-10,0,1,1,0,1,0,0,0,0,0,3
trustoverip/kswg-cesr-specification,2025-11,0,1,1,0,1,0,0,0,0,0,3
trustoverip/kswg-cesr-specification,2026-02,0,3,0,0,0,0,0,0,0,0,3
trustoverip/kswg-cesr-specification,2026-03,0,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/did-webs-resolver,2023-12,0,0,0,0,0,0,0,1,0,0,1
hyperledger-labs/did-webs-resolver,2024-01,0,0,0,0,1,0,0,0,0,0,1
hyperledger-labs/did-webs-resolver,2024-02,0,2,3,0,0,0,0,0,0,0,5
trustoverip/toip,2022-08,3,0,0,0,0,0,0,0,0,0,3
trustoverip/toip,2024-08,0,0,3,0,0,0,0,0,0,0,3
trustoverip/TechArch,2025-05,0,0,0,1,2,0,0,1,0,0,4
trustoverip/egf-vlei-review,2021-12,0,2,1,0,0,0,0,1,0,0,4
trustoverip/spec-up-t-starter-pack,2024-10,0,0,0,0,0,0,0,0,1,0,1
trustoverip/spec-up-t-starter-pack,2025-01,0,0,0,0,1,0,0,1,0,0,2
trustoverip/ctwg-toolkit-mrg,2022-10,0,0,0,0,1,0,0,1,0,0,2
trustoverip/EasyCLA,2024-05,0,0,0,0,0,0,0,1,0,0,1
trustoverip/spec-up,2024-01,0,0,0,0,0,0,0,1,0,0,1
trustoverip/specification-template,2024-02,0,0,0,0,0,0,0,1,0,0,1
trustoverip/tswg-trust-registry-protocol,2024-01,0,0,0,0,0,0,0,1,0,0,1
trustoverip/tt,2023-07,0,0,0,0,0,0,0,1,0,0,1
