repo,month,IssueCommentEvent,PullRequestReviewEvent,PullRequestEvent,PullRequestReviewCommentEvent,PushEvent,IssuesEvent,CreateEvent,DeleteEvent,ReleaseEvent,GollumEvent,ForkEvent,total
hyperledger/besu,2023-05,3,0,4,0,0,1,0,0,0,0,1,9
hyperledger/besu,2023-06,19,2,1,3,0,3,0,0,0,0,0,28
hyperledger/besu,2023-07,4,5,2,4,0,4,0,0,0,0,0,19
hyperledger/besu,2023-08,2,5,1,5,0,1,0,0,0,0,0,14
hyperledger/besu,2023-09,3,2,1,2,0,4,0,0,0,0,0,12
hyperledger/besu,2023-10,16,2,3,3,0,2,0,0,0,0,0,26
hyperledger/besu,2023-11,21,9,10,7,6,5,0,0,0,0,0,58
hyperledger/besu,2023-12,20,6,5,7,1,3,0,0,0,0,0,42
hyperledger/besu,2024-01,21,12,14,12,6,7,0,0,0,0,0,72
hyperledger/besu,2024-02,10,7,4,8,3,2,0,0,0,0,0,34
hyperledger/besu,2024-03,10,3,10,1,3,4,0,0,0,0,0,31
hyperledger/besu,2024-04,6,6,6,6,2,3,0,0,0,0,0,29
hyperledger/besu,2024-05,14,6,3,6,0,1,0,0,0,0,0,30
hyperledger/besu,2024-06,12,22,8,21,4,4,0,0,0,0,0,71
hyperledger/besu,2024-07,7,0,7,0,3,0,0,0,0,0,0,17
hyperledger/besu,2024-08,4,1,5,0,2,0,0,0,0,0,0,12
hyperledger/besu,2024-09,22,6,6,11,3,4,0,0,0,0,0,52
hyperledger/besu,2024-10,3,1,3,1,1,1,0,0,0,0,0,10
hyperledger/besu,2024-11,15,3,2,2,2,2,0,0,0,0,0,26
hyperledger/besu,2024-12,6,2,0,3,0,0,0,0,0,0,0,11
hyperledger/besu,2025-01,4,20,0,20,1,0,0,0,0,0,0,45
hyperledger/besu,2025-02,14,3,8,6,5,2,1,1,0,0,0,40
hyperledger/besu,2025-03,9,1,8,1,4,5,0,0,0,0,0,28
hyperledger/besu,2025-04,2,2,1,0,0,0,0,0,0,0,0,5
hyperledger/besu,2025-05,3,0,2,0,1,0,0,0,0,0,0,6
hyperledger/besu,2025-06,1,9,0,6,0,0,0,0,0,0,0,16
hyperledger/besu,2025-07,0,2,2,2,0,0,0,0,0,0,0,6
hyperledger/besu,2025-08,0,3,0,3,0,0,0,0,0,0,0,6
hyperledger/besu,2025-09,0,2,1,2,0,0,0,0,0,0,0,5
hyperledger/besu,2025-11,1,4,0,1,0,0,0,0,0,0,0,6
hyperledger/besu,2025-12,0,0,0,0,0,2,0,0,0,0,0,2
hyperledger/besu,2026-01,3,0,1,1,0,2,0,0,0,0,0,7
hyperledger/besu,2026-02,3,2,2,1,0,1,0,0,0,0,0,9
LFDT-Paladin/paladin,2025-11,0,16,4,10,5,3,1,0,0,0,0,39
LFDT-Paladin/paladin,2025-12,5,10,9,2,35,23,5,1,0,1,0,91
LFDT-Paladin/paladin,2026-01,1,9,2,11,25,3,2,1,0,0,0,54
LFDT-Paladin/paladin,2026-02,1,19,0,13,9,1,0,4,0,0,0,47
LFDT-Paladin/paladin,2026-03,1,4,1,1,32,0,7,3,0,0,0,49
LFDT-Paladin/paladin,2026-04,0,2,1,5,11,1,1,1,0,0,0,22
LFDT-Paladin/paladin,2026-05,0,0,1,0,4,0,1,0,0,0,0,6
hyperledger/firefly,2022-09,0,0,2,0,0,0,0,0,0,0,0,2
hyperledger/firefly,2022-10,2,2,1,2,0,0,0,0,0,0,0,7
hyperledger/firefly,2022-11,3,0,0,0,0,1,1,0,0,0,0,5
hyperledger/firefly,2022-12,1,2,2,2,0,0,0,0,0,0,0,7
hyperledger/firefly,2023-01,3,3,1,3,1,6,2,1,2,0,0,22
hyperledger/firefly,2023-02,4,0,2,0,0,5,0,0,0,0,0,11
