repo,month,PullRequestEvent,PullRequestReviewEvent,ForkEvent,IssuesEvent,WatchEvent,total
trustoverip/utility-foundry-wg,2020-07,1,0,1,1,0,3
trustoverip/utility-foundry-wg,2020-10,1,2,0,0,0,3
trustoverip/TechArch,2022-08,0,0,0,0,1,1
