repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,IssuesEvent,PullRequestEvent,CreateEvent,DeleteEvent,IssueCommentEvent,total
hiero-ledger/hiero-consensus-node,2025-02,13,12,1,1,0,2,1,0,30
hiero-ledger/hiero-consensus-node,2025-03,97,90,32,27,15,11,10,16,298
hiero-ledger/hiero-consensus-node,2025-04,54,40,31,14,11,7,8,5,170
hiero-ledger/hiero-consensus-node,2025-05,52,45,42,15,17,9,13,4,197
hiero-ledger/hiero-consensus-node,2025-06,70,43,28,9,15,6,6,7,184
hiero-ledger/hiero-consensus-node,2025-07,76,67,35,21,11,8,5,7,230
hiero-ledger/hiero-consensus-node,2025-08,67,50,34,18,12,7,4,1,193
hiero-ledger/hiero-consensus-node,2025-09,37,30,12,12,3,3,2,4,103
hiero-ledger/hiero-consensus-node,2025-10,37,31,37,20,19,7,11,4,166
hiero-ledger/hiero-consensus-node,2025-11,38,35,16,8,8,4,4,2,115
hiero-ledger/hiero-consensus-node,2025-12,20,12,19,21,23,11,9,9,124
hiero-ledger/hiero-consensus-node,2026-01,25,43,29,34,25,12,4,1,173
hiero-ledger/hiero-consensus-node,2026-02,26,15,28,15,14,5,8,0,111
hiero-ledger/hiero-consensus-node,2026-03,3,1,15,0,0,2,3,0,24
hiero-ledger/hiero-consensus-node,2026-04,2,3,16,7,3,6,4,1,42
hiero-ledger/hiero-consensus-node,2026-05,5,7,33,1,0,5,11,1,63
hiero-ledger/governance,2025-02,1,0,0,0,3,0,0,1,5
hiero-ledger/governance,2025-03,3,0,0,0,0,0,0,5,8
hiero-ledger/governance,2025-04,4,2,0,0,1,0,0,0,7
hiero-ledger/governance,2025-05,9,6,0,0,1,0,0,3,19
hiero-ledger/governance,2025-06,0,0,0,0,1,0,0,1,2
hiero-ledger/governance,2025-07,0,0,0,0,1,0,0,1,2
hiero-ledger/governance,2025-08,3,2,0,0,0,0,0,0,5
hiero-ledger/governance,2025-09,2,1,0,0,1,0,0,0,4
hiero-ledger/governance,2025-10,1,0,0,0,0,0,0,0,1
hiero-ledger/governance,2026-01,0,0,0,0,0,0,0,1,1
hiero-ledger/hiero-improvement-proposals,2025-07,2,1,0,0,0,0,0,0,3
