repo,month,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssueCommentEvent,CreateEvent,DeleteEvent,ForkEvent,IssuesEvent,total
pq-code-package/mlkem-c-aarch64,2024-03,0,0,0,0,1,0,0,0,0,1
pq-code-package/mlkem-c-aarch64,2024-05,0,5,5,1,1,0,0,1,0,13
pq-code-package/mlkem-c-aarch64,2024-06,1,35,30,9,20,0,0,0,0,95
pq-code-package/mlkem-c-aarch64,2024-07,0,2,2,1,2,0,0,0,0,7
pq-code-package/mlkem-c-aarch64,2024-08,0,0,0,1,3,0,0,0,0,4
pq-code-package/mlkem-c-aarch64,2024-09,67,19,14,14,3,10,3,0,0,130
pq-code-package/mlkem-c-aarch64,2024-10,92,20,7,14,14,11,2,0,1,161
pq-code-package/mlkem-c-aarch64,2024-11,44,2,1,3,0,2,0,0,0,52
pq-code-package/mlkem-native,2024-11,91,15,17,9,5,11,0,0,0,148
pq-code-package/mlkem-native,2024-12,36,5,3,9,1,10,1,0,0,65
pq-code-package/mlkem-native,2025-01,17,4,2,1,4,1,0,0,0,29
pq-code-package/mlkem-native,2025-02,61,5,5,3,3,3,0,0,0,80
pq-code-package/mlkem-native,2025-04,1,0,0,0,0,0,0,0,0,1
pq-code-package/mlkem-native,2025-05,0,4,4,0,0,0,0,0,0,8
pq-code-package/mlkem-c-embedded,2024-03,1,12,5,3,0,1,1,1,1,25
pq-code-package/mlkem-c-embedded,2024-04,1,8,5,10,2,0,0,0,0,26
pq-code-package/mlkem-c-embedded,2024-05,0,4,1,4,0,1,1,0,0,11
pq-code-package/mlkem-c-embedded,2024-06,0,1,0,1,1,0,0,0,0,3
pq-code-package/mlkem-c-embedded,2024-07,0,0,0,2,0,0,0,0,0,2
pq-code-package/mlkem-c-embedded,2024-08,0,3,3,2,6,0,0,0,2,16
pq-code-package/mlkem-c-embedded,2026-04,0,0,0,0,0,0,0,1,0,1
pq-code-package/mldsa-native,2025-02,7,0,0,1,0,1,0,1,0,10
pq-code-package/mldsa-native,2025-05,2,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs,2025-02,0,0,0,0,0,0,0,1,0,1
