repo,month,CreateEvent,DeleteEvent,PushEvent,PullRequestEvent,MemberEvent,PullRequestReviewEvent,IssueCommentEvent,total
credebl/governance,2025-01,6,1,1,6,0,0,1,15
credebl/governance,2025-03,1,0,0,1,0,0,0,2
credebl/governance,2025-04,3,0,0,3,0,0,0,6
credebl/governance,2025-05,2,0,1,2,0,0,0,5
credebl/governance,2025-10,2,0,1,0,0,0,0,3
credebl/governance,2026-02,2,0,1,1,0,0,0,4
credebl/governance,2026-04,1,0,0,0,0,0,0,1
credebl/platform,2024-02,1,0,0,0,0,0,0,1
credebl/platform,2024-07,0,0,0,0,2,0,0,2
credebl/platform,2024-08,0,0,0,0,1,0,0,1
credebl/platform,2024-09,0,0,0,0,1,0,0,1
credebl/platform,2026-02,0,0,2,0,0,0,0,2
credebl/platform,2026-03,2,0,4,0,0,0,0,6
credebl/platform,2026-05,2,6,2,0,0,0,0,10
credebl/agent-controller,2026-03,1,2,2,0,0,0,0,5
credebl/agent-controller,2026-05,1,8,3,0,0,0,1,13
credebl/studio,2024-09,0,0,0,0,1,0,0,1
credebl/studio,2026-05,3,2,2,2,0,0,0,9
credebl/install,2025-10,0,0,0,0,0,1,0,1
credebl/install,2025-11,0,1,1,0,0,1,0,3
credebl/install,2026-04,0,2,2,0,0,0,0,4
credebl/install,2026-05,0,0,0,0,0,1,0,1
credebl/mobile-wallet,2026-05,0,4,0,2,0,0,0,6
credebl/terraform-scripts,2025-01,0,0,0,0,0,1,0,1
credebl/terraform-scripts,2025-11,1,0,0,2,0,0,0,3
credebl/mediator-agent,2024-05,0,0,0,0,2,0,0,2
credebl/mediator-agent,2024-12,0,0,0,0,1,0,0,1
credebl/CREDEBL-terraform,2024-10,2,0,0,0,0,0,0,2
credebl/docs,2024-09,0,0,0,0,2,0,0,2
credebl/mobile-sdk,2026-05,2,0,0,0,0,0,0,2
credebl/platform-admin,2026-05,0,0,0,2,0,0,0,2
credebl/adeya-sdk,2024-10,0,0,0,0,1,0,0,1
credebl/adeya-wallet,2024-10,0,0,0,0,1,0,0,1
credebl/credo-controller,2024-12,0,0,0,0,1,0,0,1
credebl/webauthn-server,2026-05,0,0,1,0,0,0,0,1
