repo,month,PushEvent,IssuesEvent,PullRequestReviewEvent,CreateEvent,PullRequestReviewCommentEvent,PullRequestEvent,DeleteEvent,IssueCommentEvent,total
hiero-ledger/hiero-cli,2025-11,0,13,0,0,0,0,0,0,13
hiero-ledger/hiero-cli,2025-12,17,25,19,10,8,16,6,3,104
hiero-ledger/hiero-cli,2026-01,25,10,8,11,4,11,6,1,76
hiero-ledger/hiero-cli,2026-02,27,13,22,18,10,15,5,0,110
hiero-ledger/hiero-cli,2026-03,32,11,10,10,12,3,8,1,87
hiero-ledger/hiero-cli,2026-04,12,6,5,8,9,0,5,0,45
hiero-ledger/hiero-cli,2026-05,16,3,6,4,5,0,5,0,39
