repo,month,PushEvent,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,IssuesEvent,DeleteEvent,CreateEvent,PullRequestReviewCommentEvent,ReleaseEvent,GollumEvent,MemberEvent,ForkEvent,CommitCommentEvent,WatchEvent,total
open-quantum-safe/liboqs,2024-05,1,12,0,8,3,0,0,4,0,0,0,0,0,0,28
open-quantum-safe/liboqs,2024-06,1,2,1,3,0,0,0,0,0,0,0,0,0,0,7
open-quantum-safe/liboqs,2024-07,1,10,1,12,2,0,0,2,0,1,0,0,0,0,29
open-quantum-safe/liboqs,2024-08,0,7,2,10,1,1,1,4,0,0,0,0,0,0,26
open-quantum-safe/liboqs,2024-09,2,27,2,18,4,1,1,5,0,0,0,0,0,0,60
open-quantum-safe/liboqs,2024-10,2,10,1,10,1,0,1,3,0,0,0,0,0,0,28
open-quantum-safe/liboqs,2024-11,14,20,8,14,8,1,2,7,1,2,0,0,0,0,77
open-quantum-safe/liboqs,2024-12,6,4,7,5,1,0,5,1,1,0,0,0,0,0,30
open-quantum-safe/liboqs,2025-01,1,17,4,6,2,0,1,2,0,0,0,0,0,0,33
open-quantum-safe/liboqs,2025-02,6,14,3,14,2,0,0,4,0,0,0,1,0,0,44
open-quantum-safe/liboqs,2025-03,4,10,4,11,4,0,0,2,0,0,0,0,0,0,35
open-quantum-safe/liboqs,2025-04,0,7,2,4,0,26,1,0,0,0,0,0,0,0,40
open-quantum-safe/liboqs,2025-05,0,8,0,1,0,0,0,0,0,0,0,0,0,0,9
open-quantum-safe/liboqs,2025-06,6,7,7,11,4,3,1,0,0,0,0,0,0,0,39
open-quantum-safe/liboqs,2025-07,6,23,6,21,4,1,2,13,0,2,0,0,0,0,78
open-quantum-safe/liboqs,2025-08,6,10,7,11,4,0,1,7,0,0,0,0,0,0,46
open-quantum-safe/liboqs,2025-09,16,15,11,5,9,0,3,1,0,6,0,0,0,0,66
open-quantum-safe/liboqs,2025-10,3,4,2,3,4,9,0,3,0,0,0,0,0,0,28
open-quantum-safe/liboqs,2025-11,1,3,0,3,0,0,0,0,0,0,0,0,0,0,7
open-quantum-safe/liboqs,2026-01,4,8,0,3,4,0,1,0,0,0,0,0,0,0,20
open-quantum-safe/liboqs,2026-02,0,3,1,1,0,0,0,0,0,0,0,0,0,0,5
open-quantum-safe/liboqs,2026-03,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs,2026-04,9,1,0,2,2,1,1,1,0,0,0,0,0,0,17
open-quantum-safe/liboqs,2026-05,16,2,2,3,1,8,0,0,0,0,0,0,0,0,32
open-quantum-safe/openssl,2016-08,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
open-quantum-safe/openssl,2016-09,3,0,0,0,0,0,0,0,0,3,0,0,0,0,6
open-quantum-safe/openssl,2016-10,12,1,1,0,0,0,0,0,0,4,0,0,0,0,18
open-quantum-safe/openssl,2016-11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/openssl,2016-12,5,5,2,0,1,0,0,0,0,0,0,0,0,0,13
open-quantum-safe/openssl,2017-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/openssl,2017-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/openssl,2017-08,2,0,0,0,1,0,0,0,0,1,0,0,0,0,4
open-quantum-safe/openssl,2017-09,0,0,0,0,0,0,0,13,0,0,0,0,0,0,13
open-quantum-safe/openssl,2017-10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
open-quantum-safe/openssl,2017-12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/openssl,2018-01,3,3,2,0,1,0,0,0,0,0,0,0,0,0,9
open-quantum-safe/openssl,2018-02,5,0,5,0,0,1,0,0,0,0,2,0,0,0,13
open-quantum-safe/openssl,2018-03,3,0,3,0,0,0,0,2,0,0,0,0,0,0,8
open-quantum-safe/openssl,2018-04,4,1,0,0,0,6,6,0,2,0,0,0,0,0,19
open-quantum-safe/openssl,2018-05,6,0,2,0,0,1,2,4,2,1,0,0,0,0,18
open-quantum-safe/openssl,2018-06,2,3,2,0,0,0,1,2,0,0,0,0,0,0,10
open-quantum-safe/openssl,2018-07,1,4,1,0,3,0,0,0,0,1,0,0,0,0,10
open-quantum-safe/openssl,2018-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/openssl,2018-09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/openssl,2018-10,7,11,6,0,3,2,1,0,0,0,2,0,0,0,32
open-quantum-safe/openssl,2018-11,23,18,11,0,6,22,7,0,6,0,0,0,0,0,93
open-quantum-safe/openssl,2018-12,3,4,3,0,3,0,0,1,0,0,0,0,0,0,14
open-quantum-safe/openssl,2019-01,3,1,3,0,0,0,0,0,0,0,0,0,0,0,7
open-quantum-safe/openssl,2019-02,2,2,3,0,0,0,0,0,0,0,0,0,0,0,7
open-quantum-safe/openssl,2019-03,2,1,2,0,3,0,0,0,0,0,0,0,0,0,8
open-quantum-safe/openssl,2019-04,5,2,2,0,2,0,0,0,0,0,0,0,0,0,11
open-quantum-safe/openssl,2019-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/openssl,2019-06,4,5,4,0,6,0,0,0,0,0,0,0,0,0,19
open-quantum-safe/openssl,2019-07,13,5,4,0,1,0,1,0,0,0,0,0,0,0,24
open-quantum-safe/openssl,2019-08,9,1,4,0,1,4,0,1,0,0,0,0,0,0,20
open-quantum-safe/openssl,2019-09,5,11,4,0,5,2,0,3,0,0,0,0,0,0,30
open-quantum-safe/openssl,2019-10,5,1,1,0,2,2,3,0,2,0,0,0,0,0,16
open-quantum-safe/openssl,2019-11,2,2,1,0,0,1,0,2,0,0,0,0,0,0,8
open-quantum-safe/openssl,2019-12,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3
open-quantum-safe/openssl,2020-01,11,2,8,0,2,4,2,1,0,0,0,0,0,0,30
open-quantum-safe/openssl,2020-02,8,4,7,0,3,1,1,0,0,0,0,0,0,0,24
open-quantum-safe/openssl,2020-03,9,11,7,0,7,2,3,0,0,0,0,0,0,0,39
open-quantum-safe/openssl,2020-04,7,10,6,0,7,1,0,0,0,0,0,0,0,0,31
open-quantum-safe/openssl,2020-05,8,9,9,0,3,0,2,5,0,0,0,0,0,0,36
open-quantum-safe/openssl,2020-06,5,6,3,0,2,4,2,3,2,3,0,0,0,0,30
open-quantum-safe/openssl,2020-07,4,0,3,0,0,4,1,2,1,0,0,0,0,0,15
open-quantum-safe/openssl,2020-08,2,2,1,0,1,1,1,0,1,0,0,0,0,0,9
open-quantum-safe/openssl,2020-09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/openssl,2020-10,1,4,1,2,6,2,0,0,0,0,0,0,0,0,16
open-quantum-safe/openssl,2020-11,1,6,2,3,2,0,1,0,0,0,0,0,0,0,15
open-quantum-safe/openssl,2020-12,0,3,0,1,1,0,0,0,0,0,0,0,0,0,5
open-quantum-safe/openssl,2021-01,0,2,0,4,0,0,0,2,0,0,0,0,0,0,8
open-quantum-safe/openssl,2021-02,3,2,2,5,1,4,0,1,0,0,0,0,0,0,18
open-quantum-safe/openssl,2021-03,6,9,3,5,5,2,2,3,1,0,0,0,0,0,36
open-quantum-safe/openssl,2021-04,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/openssl,2021-05,1,4,1,5,0,0,1,3,0,0,0,0,0,0,15
open-quantum-safe/openssl,2021-06,1,10,1,0,0,0,0,0,0,0,0,0,0,0,12
open-quantum-safe/openssl,2021-07,2,6,1,3,2,1,0,2,0,0,0,0,0,0,17
open-quantum-safe/openssl,2021-08,4,5,2,2,3,2,2,0,2,0,0,0,0,0,22
open-quantum-safe/openssl,2021-09,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/openssl,2021-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/openssl,2021-11,2,1,2,7,1,2,1,3,0,0,0,0,0,0,19
open-quantum-safe/openssl,2021-12,2,0,1,2,0,1,1,0,1,0,0,0,0,0,8
open-quantum-safe/openssl,2022-01,1,1,0,1,1,0,1,0,1,0,0,0,0,0,6
open-quantum-safe/openssl,2022-02,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/openssl,2022-03,1,0,1,2,1,1,0,0,0,0,0,0,0,0,6
open-quantum-safe/openssl,2022-05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/openssl,2022-06,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/openssl,2022-07,1,3,1,3,2,1,0,0,0,0,0,0,0,0,11
open-quantum-safe/openssl,2022-08,3,2,3,9,2,3,0,3,0,0,0,0,0,0,25
open-quantum-safe/openssl,2022-09,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/openssl,2022-10,0,5,1,0,0,0,0,0,0,0,0,0,0,0,6
open-quantum-safe/openssl,2022-11,0,1,1,2,2,0,0,0,0,0,0,0,0,0,6
open-quantum-safe/openssl,2022-12,0,2,0,3,0,0,0,0,0,0,0,0,0,0,5
open-quantum-safe/openssl,2023-01,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/openssl,2023-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/openssl,2023-04,1,1,1,1,2,1,0,0,0,1,0,0,0,0,8
open-quantum-safe/openssl,2023-05,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/openssl,2023-06,3,2,2,2,3,1,1,0,1,0,0,0,0,0,15
open-quantum-safe/openssl,2023-07,1,9,3,0,7,4,2,0,1,0,0,0,0,0,27
open-quantum-safe/openssl,2024-07,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/openssl,2025-01,1,0,2,0,0,1,1,0,0,0,0,0,0,0,5
open-quantum-safe/openssl,2026-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2024-02,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/tsc,2024-03,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/tsc,2024-04,10,14,5,6,7,1,3,3,0,0,0,0,0,0,49
open-quantum-safe/tsc,2024-05,6,4,3,3,0,2,1,0,0,0,0,0,0,0,19
open-quantum-safe/tsc,2024-06,16,3,17,2,0,9,8,0,0,0,0,0,0,0,55
open-quantum-safe/tsc,2024-07,8,2,16,2,1,7,8,0,0,0,0,0,0,0,44
open-quantum-safe/tsc,2024-08,8,3,9,4,1,4,6,2,0,0,0,0,0,0,37
open-quantum-safe/tsc,2024-09,5,3,9,6,0,5,2,2,0,0,0,0,0,0,32
open-quantum-safe/tsc,2024-10,5,0,9,3,1,4,3,0,0,0,0,0,0,0,25
open-quantum-safe/tsc,2024-11,6,4,14,2,0,4,7,0,0,0,0,0,0,0,37
open-quantum-safe/tsc,2024-12,7,4,11,1,1,6,5,0,0,0,0,0,0,0,35
open-quantum-safe/tsc,2025-01,6,2,10,12,1,5,5,12,0,0,0,0,0,0,53
open-quantum-safe/tsc,2025-02,3,5,7,2,0,4,3,2,0,0,0,0,0,0,26
open-quantum-safe/tsc,2025-03,12,4,17,1,1,8,8,0,0,0,0,0,0,0,51
open-quantum-safe/tsc,2025-04,9,0,17,2,0,8,9,0,0,0,0,0,0,0,45
open-quantum-safe/tsc,2025-05,3,0,5,2,0,3,1,0,0,0,0,0,0,0,14
open-quantum-safe/tsc,2025-06,3,3,8,0,1,2,1,0,0,0,0,0,0,0,18
open-quantum-safe/tsc,2025-07,4,0,5,0,1,4,2,0,0,0,0,0,0,0,16
open-quantum-safe/tsc,2025-08,2,0,7,2,0,2,2,0,0,0,0,0,0,0,15
open-quantum-safe/tsc,2025-09,5,0,9,3,0,3,3,1,0,0,0,0,0,0,24
open-quantum-safe/tsc,2025-10,5,4,6,0,0,2,3,0,0,0,0,0,0,0,20
open-quantum-safe/tsc,2025-11,5,5,4,0,1,6,2,0,0,0,0,0,0,0,23
open-quantum-safe/tsc,2025-12,1,0,3,0,0,1,0,0,0,0,0,0,0,0,5
open-quantum-safe/tsc,2026-01,6,0,6,2,1,1,3,0,0,0,0,0,0,0,19
open-quantum-safe/tsc,2026-02,4,3,7,2,0,4,2,1,0,0,0,0,0,0,23
open-quantum-safe/tsc,2026-03,2,0,0,0,0,2,1,0,0,0,0,0,0,0,5
open-quantum-safe/tsc,2026-04,6,2,2,0,0,4,4,0,0,0,0,0,0,0,18
open-quantum-safe/tsc,2026-05,2,0,1,0,0,4,0,0,0,0,0,0,0,0,7
open-quantum-safe/oqs-provider,2021-01,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3
open-quantum-safe/oqs-provider,2021-02,2,1,2,3,0,2,0,0,0,0,0,0,0,0,10
open-quantum-safe/oqs-provider,2021-05,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2021-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2021-09,1,0,1,1,0,1,0,0,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2021-11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2021-12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2022-03,0,0,0,4,0,0,0,2,0,0,0,0,0,0,6
open-quantum-safe/oqs-provider,2022-07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2022-08,1,0,1,3,0,1,0,0,0,0,0,0,0,0,6
open-quantum-safe/oqs-provider,2022-10,0,1,0,6,0,0,0,1,0,0,0,0,0,0,8
open-quantum-safe/oqs-provider,2022-11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2022-12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2023-01,0,0,0,3,0,0,0,1,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2023-02,0,3,0,5,0,0,0,0,0,0,0,0,0,0,8
open-quantum-safe/oqs-provider,2023-03,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2023-04,1,3,1,2,0,0,0,0,0,0,0,0,0,0,7
open-quantum-safe/oqs-provider,2023-05,0,3,0,8,0,0,0,0,0,0,0,0,0,0,11
open-quantum-safe/oqs-provider,2023-06,0,4,0,13,2,0,0,3,0,0,0,0,0,0,22
open-quantum-safe/oqs-provider,2023-07,0,2,0,9,0,0,0,3,0,0,0,1,0,1,16
open-quantum-safe/oqs-provider,2023-08,0,0,2,1,0,0,1,0,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2023-09,0,1,0,5,0,0,0,2,0,0,0,0,0,0,8
open-quantum-safe/oqs-provider,2023-10,1,0,0,3,1,0,0,0,0,0,0,0,0,0,5
open-quantum-safe/oqs-provider,2023-11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2024-01,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2024-02,0,0,0,8,0,0,0,7,0,0,0,0,0,0,15
open-quantum-safe/oqs-provider,2024-03,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3
open-quantum-safe/oqs-provider,2024-04,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2024-05,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/oqs-provider,2024-06,2,1,2,1,2,2,0,0,0,0,0,0,0,0,10
open-quantum-safe/oqs-provider,2024-07,0,3,0,0,0,0,0,0,0,1,0,0,0,0,4
open-quantum-safe/oqs-provider,2024-08,0,6,0,0,1,0,0,0,0,0,0,0,0,0,7
open-quantum-safe/oqs-provider,2024-09,0,7,0,6,0,0,0,2,0,0,0,0,0,0,15
open-quantum-safe/oqs-provider,2024-10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-provider,2024-11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2024-12,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2025-01,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3
open-quantum-safe/oqs-provider,2025-03,0,3,0,4,1,0,0,2,0,0,0,0,0,0,10
open-quantum-safe/oqs-provider,2025-04,1,2,0,1,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2025-05,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2025-06,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2025-07,0,1,0,3,1,0,0,0,0,0,0,0,0,0,5
open-quantum-safe/oqs-provider,2025-09,0,1,0,2,0,0,0,1,0,0,0,0,0,0,4
open-quantum-safe/oqs-provider,2025-10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2026-01,2,2,0,1,0,0,1,0,0,0,0,0,0,0,6
open-quantum-safe/oqs-demos,2020-02,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-demos,2020-03,2,1,2,0,0,0,0,0,0,0,0,0,0,0,5
open-quantum-safe/oqs-demos,2020-04,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/oqs-demos,2020-05,2,2,2,0,0,0,0,3,0,0,0,0,0,0,9
open-quantum-safe/oqs-demos,2020-06,3,0,3,0,1,0,0,0,0,0,0,0,0,0,7
open-quantum-safe/oqs-demos,2020-07,1,4,0,0,3,0,0,2,0,0,0,0,0,0,10
open-quantum-safe/oqs-demos,2020-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2020-09,3,6,2,3,4,1,0,1,0,0,0,0,0,0,20
open-quantum-safe/oqs-demos,2020-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2020-11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
open-quantum-safe/oqs-demos,2021-01,1,0,1,4,0,1,0,2,0,0,0,0,0,0,9
open-quantum-safe/oqs-demos,2021-02,2,0,1,1,0,1,0,0,0,0,0,0,0,0,5
