repo,month,PushEvent,IssueCommentEvent,PullRequestEvent,PullRequestReviewEvent,IssuesEvent,DeleteEvent,CreateEvent,PullRequestReviewCommentEvent,ReleaseEvent,GollumEvent,MemberEvent,ForkEvent,CommitCommentEvent,WatchEvent,total
open-quantum-safe/liboqs,2016-08,14,3,4,0,2,2,4,1,0,0,2,0,0,0,32
open-quantum-safe/liboqs,2016-09,15,1,5,0,0,2,3,0,0,3,0,0,0,0,29
open-quantum-safe/liboqs,2016-10,45,19,22,0,9,8,7,23,0,1,0,0,0,0,134
open-quantum-safe/liboqs,2016-11,18,25,11,0,6,0,1,1,0,0,0,0,0,0,62
open-quantum-safe/liboqs,2016-12,17,19,13,0,7,2,2,2,0,4,0,0,0,0,66
open-quantum-safe/liboqs,2017-01,7,13,6,0,6,0,0,11,0,0,0,0,0,0,43
open-quantum-safe/liboqs,2017-02,14,5,15,0,7,6,2,2,0,0,0,0,0,0,51
open-quantum-safe/liboqs,2017-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2017-04,3,1,0,0,1,0,0,0,0,0,0,0,0,0,5
open-quantum-safe/liboqs,2017-05,4,4,4,0,4,0,0,0,0,0,0,0,0,0,16
open-quantum-safe/liboqs,2017-06,1,5,1,0,1,0,0,0,0,0,1,0,0,0,9
open-quantum-safe/liboqs,2017-07,16,26,19,0,20,10,7,13,0,1,1,0,0,0,113
open-quantum-safe/liboqs,2017-08,2,4,2,0,2,2,0,1,0,0,0,0,0,0,13
open-quantum-safe/liboqs,2017-09,6,5,8,0,1,1,0,0,0,0,0,0,0,0,21
open-quantum-safe/liboqs,2017-10,4,8,5,0,4,0,0,4,0,0,0,0,0,0,25
open-quantum-safe/liboqs,2017-11,3,1,3,0,0,0,0,0,0,0,0,0,0,0,7
open-quantum-safe/liboqs,2017-12,9,10,10,0,5,5,1,0,0,2,0,0,0,0,42
open-quantum-safe/liboqs,2018-01,30,18,14,0,14,7,6,2,0,0,0,0,0,0,91
open-quantum-safe/liboqs,2018-02,11,0,2,0,0,0,0,0,0,0,0,0,0,0,13
open-quantum-safe/liboqs,2018-03,36,19,9,0,31,3,6,0,0,2,0,0,0,0,106
open-quantum-safe/liboqs,2018-04,21,15,13,0,9,13,11,0,6,0,1,0,0,0,89
open-quantum-safe/liboqs,2018-05,44,16,20,0,7,13,11,0,1,0,0,0,0,0,112
open-quantum-safe/liboqs,2018-06,5,2,4,0,1,2,0,0,0,0,0,0,0,0,14
open-quantum-safe/liboqs,2018-07,21,23,13,0,16,6,4,4,1,0,1,0,0,0,89
open-quantum-safe/liboqs,2018-08,32,13,24,0,18,8,8,27,0,1,0,0,0,0,131
open-quantum-safe/liboqs,2018-09,35,38,28,0,19,19,5,43,0,0,0,0,0,0,187
open-quantum-safe/liboqs,2018-10,59,33,37,0,18,18,11,4,1,3,0,0,0,0,184
open-quantum-safe/liboqs,2018-11,12,11,4,0,8,10,8,0,8,2,0,0,0,0,63
open-quantum-safe/liboqs,2018-12,9,3,7,0,3,1,0,0,0,0,0,0,0,0,23
open-quantum-safe/liboqs,2019-01,2,1,3,0,0,1,0,0,0,0,0,0,0,0,7
open-quantum-safe/liboqs,2019-02,14,11,6,0,11,2,3,0,0,2,1,0,0,0,50
open-quantum-safe/liboqs,2019-03,5,6,4,0,2,2,0,0,0,0,0,0,0,0,19
open-quantum-safe/liboqs,2019-04,2,5,2,0,1,0,1,0,0,0,0,0,0,0,11
open-quantum-safe/liboqs,2019-05,11,10,4,0,3,2,2,0,0,0,0,0,0,0,32
open-quantum-safe/liboqs,2019-06,24,17,19,0,15,8,8,0,0,0,0,0,0,0,91
open-quantum-safe/liboqs,2019-07,76,16,38,0,6,14,20,5,0,0,0,0,0,0,175
open-quantum-safe/liboqs,2019-08,46,10,20,0,4,9,7,8,2,0,0,0,0,0,106
open-quantum-safe/liboqs,2019-09,8,6,5,0,2,1,2,3,0,0,0,0,0,0,27
open-quantum-safe/liboqs,2019-10,10,7,7,0,0,11,5,5,1,0,0,0,0,0,46
open-quantum-safe/liboqs,2019-11,2,1,3,0,1,2,2,0,0,0,0,0,0,0,11
open-quantum-safe/liboqs,2020-01,31,31,23,0,13,11,9,4,0,0,0,0,0,0,122
open-quantum-safe/liboqs,2020-02,23,32,24,0,8,7,7,3,0,2,0,0,0,0,106
open-quantum-safe/liboqs,2020-03,43,39,27,0,16,11,10,3,0,1,0,0,0,0,150
open-quantum-safe/liboqs,2020-04,16,42,20,0,21,8,7,1,0,0,0,0,0,0,115
open-quantum-safe/liboqs,2020-05,11,7,11,0,6,7,4,3,1,2,0,0,0,0,52
open-quantum-safe/liboqs,2020-06,8,5,6,0,2,3,4,1,1,2,0,0,0,0,32
open-quantum-safe/liboqs,2020-07,27,15,14,0,9,4,8,4,0,0,0,0,0,0,81
open-quantum-safe/liboqs,2020-08,10,13,9,0,4,4,7,1,2,0,0,0,0,0,50
open-quantum-safe/liboqs,2020-09,16,18,12,8,4,6,5,1,0,0,0,0,0,0,70
open-quantum-safe/liboqs,2020-10,12,22,12,5,6,6,5,0,0,0,0,0,0,0,68
open-quantum-safe/liboqs,2020-11,2,10,2,0,3,1,1,0,0,0,0,0,0,0,19
open-quantum-safe/liboqs,2020-12,6,9,7,6,8,3,3,0,0,0,0,0,0,0,42
open-quantum-safe/liboqs,2021-01,3,11,3,2,1,1,2,0,0,0,0,0,0,0,23
open-quantum-safe/liboqs,2021-02,11,29,13,10,6,10,5,0,1,0,0,0,0,0,85
open-quantum-safe/liboqs,2021-03,13,14,10,11,4,1,2,0,0,0,0,0,0,0,55
open-quantum-safe/liboqs,2021-04,17,14,13,12,1,4,4,3,1,0,0,0,0,0,69
open-quantum-safe/liboqs,2021-05,8,5,11,12,2,3,1,0,0,0,0,0,0,0,42
open-quantum-safe/liboqs,2021-06,12,16,10,9,9,2,6,4,3,0,0,0,0,0,71
open-quantum-safe/liboqs,2021-07,12,19,8,14,7,4,4,10,3,1,0,0,0,0,82
open-quantum-safe/liboqs,2021-08,36,23,18,7,4,7,9,1,3,0,0,0,0,0,108
open-quantum-safe/liboqs,2021-09,7,5,6,6,4,4,1,0,0,1,0,0,0,0,34
open-quantum-safe/liboqs,2021-10,2,3,2,1,2,2,0,0,0,0,1,0,0,0,13
open-quantum-safe/liboqs,2021-11,9,9,9,26,11,7,1,13,0,0,0,0,0,0,85
open-quantum-safe/liboqs,2021-12,16,30,15,14,6,8,7,1,2,2,1,0,0,0,102
open-quantum-safe/liboqs,2022-01,12,16,7,11,7,8,0,1,0,0,0,0,0,0,62
open-quantum-safe/liboqs,2022-02,4,2,3,0,2,2,1,0,0,0,0,0,0,0,14
open-quantum-safe/liboqs,2022-03,2,1,2,3,1,1,0,0,0,0,0,0,0,0,10
open-quantum-safe/liboqs,2022-04,2,5,2,2,2,1,0,0,0,0,0,0,0,0,14
open-quantum-safe/liboqs,2022-05,1,5,2,0,4,1,1,0,0,0,0,0,0,0,14
open-quantum-safe/liboqs,2022-06,7,6,6,16,6,7,2,4,0,0,0,0,0,0,54
open-quantum-safe/liboqs,2022-07,4,7,6,4,10,3,1,0,0,0,0,0,0,0,35
open-quantum-safe/liboqs,2022-08,16,23,13,24,8,7,8,45,3,0,0,0,0,0,147
open-quantum-safe/liboqs,2022-09,0,9,0,6,3,0,0,2,0,0,0,0,0,0,20
open-quantum-safe/liboqs,2022-10,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/liboqs,2022-11,2,8,2,5,2,2,0,1,0,0,0,0,0,0,22
open-quantum-safe/liboqs,2022-12,1,8,0,5,0,0,0,3,0,0,0,0,0,0,17
open-quantum-safe/liboqs,2023-01,10,15,9,9,8,7,3,8,0,0,0,0,0,0,69
open-quantum-safe/liboqs,2023-02,6,27,5,14,6,3,3,2,0,0,0,0,0,0,66
open-quantum-safe/liboqs,2023-03,5,13,8,5,8,6,3,2,0,0,1,0,0,0,51
open-quantum-safe/liboqs,2023-04,6,9,6,8,3,1,0,1,0,0,1,0,0,0,35
open-quantum-safe/liboqs,2023-05,10,32,10,11,4,11,7,7,1,0,1,0,0,0,94
open-quantum-safe/liboqs,2023-06,6,10,5,13,4,1,1,9,1,0,0,0,0,0,50
open-quantum-safe/liboqs,2023-07,2,11,2,10,1,1,0,4,0,0,0,0,0,0,31
open-quantum-safe/liboqs,2023-08,12,7,9,9,4,11,1,0,0,0,0,0,0,0,53
open-quantum-safe/liboqs,2023-09,3,10,3,6,2,0,0,0,0,0,0,0,0,0,24
open-quantum-safe/liboqs,2023-10,3,5,3,5,1,0,1,0,1,0,0,0,0,0,19
open-quantum-safe/liboqs,2023-11,3,9,2,14,0,6,0,7,0,0,0,0,0,0,41
open-quantum-safe/liboqs,2023-12,6,5,2,11,4,3,4,3,2,0,0,0,0,0,40
open-quantum-safe/liboqs,2024-01,13,13,9,28,2,5,5,17,2,0,0,0,0,0,94
open-quantum-safe/liboqs,2024-02,2,6,1,12,0,0,0,1,0,0,0,0,0,0,22
open-quantum-safe/liboqs,2024-03,3,8,2,7,1,0,2,2,0,0,1,0,0,0,26
open-quantum-safe/liboqs,2024-04,2,8,2,7,0,0,0,0,0,0,0,0,0,0,19
