repo,month,PullRequestEvent,IssuesEvent,PushEvent,CreateEvent,PullRequestReviewEvent,IssueCommentEvent,ForkEvent,PullRequestReviewCommentEvent,ReleaseEvent,DeleteEvent,MemberEvent,WatchEvent,total
hyperledger/indy-node,2023-02,1,0,0,0,0,0,0,0,0,0,0,0,1
trustoverip/specification-template,2022-03,0,0,0,0,0,0,0,0,0,0,1,0,1
trustoverip/specification-template,2023-12,0,1,1,3,0,0,1,0,0,0,0,0,6
trustoverip/specification-template,2024-01,6,0,2,0,1,0,0,0,0,1,0,0,10
trustoverip/specification-template,2024-03,0,1,0,0,0,0,0,0,0,0,0,0,1
trustoverip/tswg-did-method-webs-specification,2023-09,0,0,0,1,0,0,0,0,0,0,0,0,1
trustoverip/tswg-did-method-webs-specification,2023-11,1,0,0,0,0,2,1,0,0,0,0,0,4
trustoverip/tswg-did-method-webs-specification,2023-12,4,0,1,0,1,0,0,1,0,0,0,0,7
trustoverip/tswg-did-method-webs-specification,2025-04,0,0,0,0,1,3,0,1,0,0,0,0,5
trustoverip/tswg-cesr-proof-specification,2023-07,1,1,1,4,0,0,1,0,2,0,0,0,10
trustoverip/tswg-cesr-proof-specification,2023-08,1,0,1,0,0,0,0,0,0,0,0,0,2
trustoverip/tswg-cesr-proof-specification,2023-11,2,0,2,0,0,0,0,0,0,0,0,0,4
trustoverip/tswg-ipex-specification,2023-07,1,1,2,4,0,0,1,0,1,0,0,0,10
trustoverip/tswg-ipex-specification,2023-08,1,0,1,0,0,0,0,0,0,0,0,0,2
trustoverip/tswg-ipex-specification,2023-11,2,0,2,0,0,0,0,0,0,0,0,0,4
trustoverip/vLEI-EGF-v1.0-Interim-Update-Public-Review,2023-08,0,0,5,1,0,0,0,0,0,0,0,0,6
trustoverip/vLEI-EGF-v1.0-Interim-Update-Public-Review,2023-10,0,0,1,0,0,0,0,0,0,0,0,0,1
trustoverip/vLEI-EGF-v1.0-Interim-Update-Public-Review,2023-11,0,7,1,0,0,0,0,0,0,0,1,0,9
hyperledger/indy-plenum,2020-09,0,0,0,0,0,0,1,0,0,0,0,0,1
hyperledger/indy-plenum,2020-11,1,0,0,0,0,0,0,0,0,0,0,0,1
hyperledger/indy-plenum,2021-01,1,0,0,0,1,1,0,0,0,0,0,0,3
hyperledger/indy-plenum,2021-02,0,0,0,0,6,0,0,2,0,0,0,0,8
hyperledger/indy-plenum,2021-07,0,0,0,0,2,0,0,0,0,0,0,0,2
trustoverip/EasyCLA,2024-01,9,0,2,1,0,0,2,0,0,0,0,0,14
