repo,month,PullRequestEvent,PushEvent,ForkEvent,IssueCommentEvent,IssuesEvent,CreateEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,DeleteEvent,WatchEvent,total
hyperledger-labs/aifaq,2024-02,0,0,0,0,0,0,0,0,0,2,2
hyperledger-labs/aifaq,2024-03,4,2,1,0,0,1,0,0,0,1,9
hyperledger-labs/aifaq,2024-04,0,0,0,0,0,0,0,0,0,1,1
hyperledger-labs/aifaq,2024-05,2,1,1,0,0,0,0,0,0,0,4
hyperledger-labs/aifaq,2024-06,4,2,1,0,0,1,0,0,0,0,8
hyperledger-labs/aifaq,2024-07,15,7,6,0,0,1,0,0,1,1,31
hyperledger-labs/aifaq,2024-08,0,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/aifaq,2024-09,1,0,0,1,0,0,0,0,0,0,2
hyperledger-labs/aifaq,2024-10,8,2,5,0,0,1,0,0,0,0,16
hyperledger-labs/aifaq,2024-11,7,5,5,0,0,0,0,0,0,0,17
hyperledger-labs/aifaq,2024-12,1,1,0,0,0,0,0,0,0,0,2
hyperledger-labs/aifaq,2025-01,3,1,2,2,0,2,0,0,1,0,11
hyperledger-labs/aifaq,2025-02,1,1,0,0,0,0,0,0,2,0,4
hyperledger-labs/aifaq,2025-03,11,7,5,0,0,1,0,0,0,0,24
hyperledger-labs/aifaq,2025-04,6,3,5,3,0,3,0,0,1,0,21
hyperledger-labs/aifaq,2025-05,3,2,1,1,0,0,0,0,0,0,7
hyperledger-labs/aifaq,2025-06,6,3,2,1,2,0,0,0,0,0,14
hyperledger-labs/aifaq,2025-07,20,9,2,17,13,0,0,0,0,0,61
hyperledger-labs/aifaq,2025-09,0,1,0,0,0,1,0,0,0,0,2
hyperledger-labs/aifaq,2025-11,0,1,0,0,0,0,0,0,0,0,1
hyperledger-labs/aifaq,2026-01,0,2,0,0,0,0,0,0,0,0,2
hyperledger-labs/hyperledger-labs.github.io,2023-10,0,0,1,0,0,0,6,6,0,0,13
hyperledger-labs/hyperledger-labs.github.io,2023-12,0,0,0,0,0,0,1,1,0,0,2
LF-Decentralized-Trust-Mentorships/mentorship-program,2025-04,0,0,0,4,0,0,0,0,0,0,4
hyperledger-labs/governance,2024-07,0,0,0,1,0,0,0,0,0,0,1
