repo,month,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,PullRequestEvent,IssuesEvent,CreateEvent,DeleteEvent,IssueCommentEvent,ReleaseEvent,ForkEvent,total
hiero-ledger/hiero-block-node,2025-02,7,14,4,2,2,1,0,1,0,0,31
hiero-ledger/hiero-block-node,2025-03,38,47,27,9,11,5,3,2,0,1,143
hiero-ledger/hiero-block-node,2025-04,32,31,24,9,5,7,4,0,0,0,112
hiero-ledger/hiero-block-node,2025-05,60,15,39,4,14,1,3,3,0,0,139
hiero-ledger/hiero-block-node,2025-06,3,2,1,0,0,0,0,0,0,0,6
hiero-ledger/hiero-block-node,2025-08,7,0,0,0,0,0,0,0,0,0,7
hiero-ledger/hiero-block-node,2025-09,2,0,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-local-node,2025-01,0,0,0,0,0,1,0,0,1,0,2
hiero-ledger/hiero-local-node,2025-02,8,5,0,2,1,0,1,0,0,0,17
hiero-ledger/hiero-local-node,2025-03,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-local-node,2025-04,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-local-node,2025-05,10,23,6,19,11,10,10,9,3,0,101
hiero-ledger/hiero-local-node,2025-06,1,1,0,1,1,2,1,0,1,0,8
hiero-ledger/hiero-local-node,2025-07,1,2,0,1,0,0,0,0,0,0,4
hiero-ledger/hiero-local-node,2025-09,0,1,0,1,0,0,1,0,0,0,3
hiero-ledger/hiero-hederium,2025-08,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-hederium,2025-09,1,1,0,1,0,0,1,0,0,0,4
hiero-ledger/hiero-improvement-proposals,2025-05,2,0,2,0,0,0,0,0,0,0,4
hiero-ledger/governance,2025-08,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2025-09,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/governance,2026-03,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-go,2024-12,0,0,0,1,1,0,0,0,0,1,3
hiero-ledger/hiero-json-rpc-relay,2025-09,0,0,0,0,1,0,0,0,0,0,1
