repo,month,PullRequestReviewEvent,PushEvent,PullRequestReviewCommentEvent,IssuesEvent,PullRequestEvent,CreateEvent,DeleteEvent,IssueCommentEvent,CommitCommentEvent,total
hiero-ledger/hiero-consensus-node,2025-02,29,18,6,3,2,2,1,2,0,63
hiero-ledger/hiero-consensus-node,2025-03,12,27,9,0,0,2,1,0,0,51
hiero-ledger/hiero-consensus-node,2025-04,32,32,19,3,0,0,2,0,0,88
hiero-ledger/hiero-consensus-node,2025-05,12,36,9,17,4,2,2,0,0,82
hiero-ledger/hiero-consensus-node,2025-06,37,26,33,2,4,2,3,1,0,108
hiero-ledger/hiero-consensus-node,2025-07,42,21,42,3,13,5,2,3,0,131
hiero-ledger/hiero-consensus-node,2025-08,27,18,20,10,4,2,5,4,0,90
hiero-ledger/hiero-consensus-node,2025-09,59,10,43,0,3,2,0,2,0,119
hiero-ledger/hiero-consensus-node,2025-10,46,34,19,19,11,9,6,7,1,152
hiero-ledger/hiero-consensus-node,2025-11,9,1,5,1,5,1,0,0,0,22
hiero-ledger/hiero-consensus-node,2025-12,17,7,3,3,1,1,1,0,0,33
hiero-ledger/hiero-consensus-node,2026-01,44,15,29,6,1,1,0,2,0,98
hiero-ledger/hiero-consensus-node,2026-02,19,8,12,7,1,2,1,1,0,51
hiero-ledger/hiero-consensus-node,2026-03,8,20,9,4,1,4,6,0,0,52
hiero-ledger/hiero-consensus-node,2026-04,11,8,4,7,1,5,3,1,0,40
hiero-ledger/hiero-consensus-node,2026-05,5,7,0,0,0,1,4,1,0,18
