repo,month,PullRequestReviewEvent,PushEvent,DeleteEvent,PullRequestEvent,IssueCommentEvent,CreateEvent,IssuesEvent,PullRequestReviewCommentEvent,ForkEvent,MemberEvent,total
hiero-ledger/hiero-consensus-node,2025-02,24,5,1,1,2,0,1,0,0,0,34
hiero-ledger/hiero-consensus-node,2025-03,29,15,6,9,12,4,1,0,0,0,76
hiero-ledger/hiero-consensus-node,2025-04,25,17,8,10,7,2,4,0,0,0,73
hiero-ledger/hiero-consensus-node,2025-05,20,10,4,2,1,0,0,0,0,0,37
hiero-ledger/hiero-consensus-node,2025-06,15,16,6,6,3,1,0,1,0,0,48
hiero-ledger/hiero-consensus-node,2025-07,6,21,5,8,3,2,0,0,0,0,45
hiero-ledger/hiero-consensus-node,2025-08,5,2,1,0,0,0,0,0,2,0,10
hiero-ledger/hiero-consensus-node,2025-09,5,0,0,0,0,0,0,0,0,0,5
hiero-ledger/hiero-consensus-node,2025-10,5,1,0,0,0,0,0,0,0,0,6
hiero-ledger/hiero-consensus-node,2025-11,0,1,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-consensus-node,2026-01,3,0,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-consensus-node,2026-02,4,8,0,4,1,1,0,0,0,0,18
hiero-ledger/hiero-consensus-node,2026-03,0,4,0,0,0,0,0,0,0,0,4
hiero-ledger/hiero-consensus-node,2026-04,0,3,1,0,0,0,0,0,0,0,4
hiero-ledger/hiero-consensus-node,2026-05,1,2,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-java,2025-01,3,2,2,2,0,0,0,0,0,0,9
hiero-ledger/hiero-sdk-java,2025-02,12,2,0,2,4,1,0,2,0,0,23
hiero-ledger/hiero-sdk-java,2025-03,12,13,10,10,2,0,1,0,0,0,48
hiero-ledger/hiero-sdk-java,2025-04,13,20,9,8,0,1,0,0,0,0,51
hiero-ledger/hiero-sdk-java,2025-05,11,12,10,9,1,0,0,0,0,0,43
hiero-ledger/hiero-sdk-java,2025-06,8,2,2,1,1,0,0,0,0,0,14
hiero-ledger/hiero-sdk-java,2025-07,2,7,4,3,1,0,0,0,0,0,17
hiero-ledger/hiero-sdk-java,2025-08,2,6,3,4,5,0,0,0,0,0,20
hiero-ledger/hiero-sdk-java,2025-09,1,0,1,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-java,2025-10,1,1,1,0,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-java,2025-11,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-sdk-java,2026-01,5,6,3,0,0,0,0,0,0,0,14
hiero-ledger/hiero-sdk-java,2026-02,5,5,5,0,0,0,0,0,0,0,15
hiero-ledger/hiero-sdk-java,2026-03,2,1,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-java,2026-04,1,1,0,0,0,0,0,0,0,0,2
hiero-ledger/hiero-sdk-java,2026-05,1,2,2,0,0,0,0,0,0,0,5
hiero-ledger/hiero-sdk-js,2025-01,3,0,0,0,0,0,0,0,0,0,3
hiero-ledger/hiero-sdk-js,2025-02,9,4,3,5,4,1,0,0,0,0,26
