repo,month,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,DeleteEvent,PullRequestEvent,IssuesEvent,CreateEvent,IssueCommentEvent,total
hiero-ledger/hiero-json-rpc-relay,2025-11,0,0,3,0,3,2,0,4,12
hiero-ledger/hiero-json-rpc-relay,2025-12,12,25,15,1,8,9,2,5,77
hiero-ledger/hiero-json-rpc-relay,2026-01,14,14,9,4,6,5,1,2,55
hiero-ledger/hiero-json-rpc-relay,2026-02,20,25,25,1,6,2,1,2,82
hiero-ledger/hiero-json-rpc-relay,2026-03,53,17,12,15,1,2,6,0,106
hiero-ledger/hiero-json-rpc-relay,2026-04,72,21,5,34,3,3,5,0,143
hiero-ledger/hiero-json-rpc-relay,2026-05,25,5,3,2,0,0,0,0,35
hiero-ledger/hiero-contracts,2025-12,5,2,0,1,8,5,3,1,25
hiero-ledger/hiero-contracts,2026-01,46,4,3,0,12,2,3,0,70
hiero-ledger/hiero-contracts,2026-02,18,1,2,5,7,4,3,0,40
hiero-ledger/hiero-contracts,2026-03,20,0,0,0,0,0,1,0,21
hiero-ledger/hiero-contracts,2026-04,9,2,0,0,0,0,3,0,14
hiero-ledger/hiero-contracts,2026-05,7,0,0,11,0,0,2,0,20
