repo,month,PushEvent,DeleteEvent,PullRequestEvent,PullRequestReviewEvent,CreateEvent,IssueCommentEvent,IssuesEvent,ForkEvent,PullRequestReviewCommentEvent,total
hiero-ledger/hiero-mirror-node-explorer,2025-03,44,31,34,24,17,0,3,0,0,153
hiero-ledger/hiero-mirror-node-explorer,2025-04,79,38,53,39,18,13,10,0,2,252
hiero-ledger/hiero-mirror-node-explorer,2025-05,82,50,63,45,21,10,9,0,0,280
hiero-ledger/hiero-mirror-node-explorer,2025-06,43,24,32,27,8,1,2,0,0,137
hiero-ledger/hiero-mirror-node-explorer,2025-07,49,25,22,20,3,5,0,0,0,124
hiero-ledger/hiero-mirror-node-explorer,2025-08,16,8,10,1,5,1,1,0,0,42
hiero-ledger/hiero-mirror-node-explorer,2025-09,5,6,5,5,1,1,2,0,0,25
hiero-ledger/hiero-mirror-node-explorer,2025-10,5,1,2,1,0,1,1,0,0,11
hiero-ledger/hiero-mirror-node-explorer,2025-11,8,1,0,0,1,0,0,0,0,10
hiero-ledger/hiero-mirror-node-explorer,2025-12,10,3,1,0,0,0,0,0,0,14
hiero-ledger/hiero-mirror-node-explorer,2026-01,13,3,5,1,6,3,0,0,0,31
hiero-ledger/hiero-mirror-node-explorer,2026-02,8,5,4,4,0,7,0,0,0,28
hiero-ledger/hiero-mirror-node-explorer,2026-03,16,15,0,1,0,8,2,0,0,42
hiero-ledger/hiero-mirror-node-explorer,2026-04,27,16,7,3,2,2,2,0,0,59
hiero-ledger/hiero-mirror-node-explorer,2026-05,40,21,5,3,7,3,0,0,0,79
hiero-ledger/hiero-mirror-node,2025-04,0,0,0,0,0,3,3,0,0,6
hiero-ledger/hiero-mirror-node,2025-05,0,0,0,0,0,0,1,0,0,1
hiero-ledger/solo,2025-04,0,0,1,0,0,0,0,1,0,2
hiero-ledger/solo,2025-06,0,0,1,0,0,0,0,0,0,1
hiero-ledger/solo,2025-08,0,0,1,0,0,0,0,0,0,1
hiero-ledger/tsc,2024-12,0,0,0,0,0,2,0,0,0,2
hiero-ledger/tsc,2025-02,0,0,0,0,0,1,0,0,0,1
hiero-ledger/governance,2025-02,0,0,0,0,0,0,0,1,0,1
