repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PullRequestEvent,ForkEvent,CreateEvent,IssuesEvent,total
hyperledger/indy-besu,2024-01,0,0,2,0,0,0,2
hyperledger/indy-besu,2024-02,2,2,1,0,0,0,5
hyperledger/indy-besu,2024-03,4,2,1,0,0,0,7
hyperledger/indy-besu,2024-04,0,0,1,0,0,0,1
hyperledger/indy-besu,2024-10,1,0,0,0,0,0,1
openwallet-foundation-labs/sd-jwt-rust,2024-09,3,3,1,1,0,1,9
hyperledger/indy-node,2023-10,0,0,1,1,0,0,2
hyperledger/indy-node,2023-11,3,3,0,0,0,0,6
openwallet-foundation-labs/eudi-wallet-kit-react-native,2024-05,0,0,1,0,1,0,2
