repo,month,PushEvent,PullRequestReviewEvent,PullRequestReviewCommentEvent,IssueCommentEvent,PullRequestEvent,CreateEvent,DeleteEvent,IssuesEvent,ForkEvent,CommitCommentEvent,ReleaseEvent,WatchEvent,total
open-quantum-safe/tsc,2024-04,0,3,0,2,0,0,0,0,0,0,0,0,5
open-quantum-safe/tsc,2024-05,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2024-10,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2024-11,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2025-02,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2025-03,2,0,0,0,1,1,0,0,0,0,0,0,4
open-quantum-safe/tsc,2025-04,0,1,0,0,1,1,0,0,0,0,0,0,3
open-quantum-safe/tsc,2025-05,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2025-08,0,1,0,1,0,0,0,0,0,0,0,0,2
open-quantum-safe/tsc,2025-09,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2025-10,0,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2026-02,0,0,0,1,0,0,0,0,0,0,0,0,1
PQCA/TAC,2024-04,0,6,2,0,0,0,0,0,0,0,0,0,8
PQCA/TAC,2024-05,0,3,1,0,0,0,0,0,0,0,0,0,4
PQCA/TAC,2024-10,0,1,0,0,0,0,0,0,0,0,0,0,1
PQCA/TAC,2025-08,0,1,0,0,0,0,0,0,0,0,0,0,1
pq-code-package/tsc,2024-03,0,0,0,1,0,0,0,1,0,0,0,0,2
pq-code-package/tsc,2024-04,0,0,0,1,0,0,0,0,0,0,0,0,1
pq-code-package/tsc,2024-05,0,0,0,3,0,0,0,0,1,0,0,0,4
open-quantum-safe/oqs-demos,2025-07,0,0,0,0,0,0,0,0,1,0,0,0,1
open-quantum-safe/oqs-demos,2025-08,0,0,0,0,1,0,0,0,0,0,0,0,1
