repo,month,PushEvent,PullRequestReviewCommentEvent,PullRequestReviewEvent,PullRequestEvent,CreateEvent,DeleteEvent,IssueCommentEvent,IssuesEvent,WatchEvent,ForkEvent,total
hyperledger/aries-vcx,2020-10,41,9,10,12,7,6,0,1,0,0,86
hyperledger/aries-vcx,2020-11,98,52,51,32,15,16,0,1,0,0,265
hyperledger/aries-vcx,2020-12,58,12,12,5,5,7,1,1,0,0,101
hyperledger/aries-vcx,2021-01,24,2,12,7,3,4,0,0,0,0,52
hyperledger/aries-vcx,2021-03,6,0,0,3,3,0,0,0,0,0,12
hyperledger/aries-vcx,2021-04,38,0,0,6,5,1,0,0,0,0,50
hyperledger/aries-vcx,2021-05,32,57,44,13,5,7,2,0,0,0,160
hyperledger/aries-vcx,2021-06,39,41,39,27,12,13,10,0,0,0,181
hyperledger/aries-vcx,2021-07,74,20,23,6,6,0,6,0,0,0,135
hyperledger/aries-vcx,2021-08,56,36,33,9,3,6,0,0,0,0,143
hyperledger/aries-vcx,2021-09,95,32,28,15,10,3,4,0,1,0,188
hyperledger/aries-vcx,2021-10,19,1,1,2,3,2,1,0,0,0,29
hyperledger/aries-vcx,2021-11,61,25,23,20,10,5,0,0,0,0,144
hyperledger/aries-vcx,2021-12,43,28,16,12,7,8,2,0,1,0,117
hyperledger/aries-vcx,2022-01,73,44,13,13,5,8,3,2,1,0,162
hyperledger/aries-vcx,2022-02,57,4,4,14,8,4,2,2,0,0,95
hyperledger/aries-vcx,2022-03,32,5,3,9,4,3,1,0,0,0,57
hyperledger/aries-vcx,2022-04,44,11,6,9,4,3,0,0,0,0,77
hyperledger/aries-vcx,2022-05,38,0,0,14,10,5,0,0,0,0,67
hyperledger/aries-vcx,2022-06,10,1,1,8,1,4,1,0,0,0,26
hyperledger/aries-vcx,2022-07,13,13,4,13,0,12,0,0,0,0,55
hyperledger/aries-vcx,2022-08,13,29,12,11,0,12,0,0,0,0,77
hyperledger/aries-vcx,2022-09,78,20,23,27,14,13,1,9,0,0,185
hyperledger/aries-vcx,2022-10,86,17,24,33,19,12,0,1,0,0,192
hyperledger/aries-vcx,2022-11,96,5,11,19,9,8,3,7,0,0,158
hyperledger/aries-vcx,2022-12,10,8,3,5,4,1,0,0,0,0,31
hyperledger/aries-vcx,2023-01,143,6,16,16,6,12,0,2,0,1,202
hyperledger/aries-vcx,2023-02,17,21,16,5,4,2,1,0,0,0,66
