repo,month,PullRequestReviewEvent,PushEvent,IssueCommentEvent,IssuesEvent,DeleteEvent,PullRequestEvent,PullRequestReviewCommentEvent,WatchEvent,CreateEvent,ForkEvent,total
hiero-ledger/hiero-cli,2025-09,1,0,0,0,0,0,0,0,0,0,1
hiero-ledger/hiero-cli,2025-10,2,0,0,0,0,1,0,0,0,0,3
hiero-ledger/hiero-cli,2025-12,9,8,0,0,3,0,0,0,0,0,20
hiero-ledger/hiero-cli,2026-01,6,1,2,1,0,0,0,0,0,0,10
hiero-ledger/hiero-cli,2026-02,9,1,0,0,0,0,0,0,0,0,10
hiero-ledger/hiero-cli,2026-03,2,0,0,0,0,0,0,0,0,0,2
hyperledger/caliper,2018-04,0,0,0,1,0,1,0,0,0,1,3
hyperledger/caliper,2018-07,0,0,1,2,0,0,0,1,0,0,4
hiero-ledger/governance,2025-09,2,0,0,0,0,0,2,0,0,0,4
hiero-ledger/governance,2026-03,0,0,0,0,1,0,0,0,0,0,1
hiero-ledger/hiero-website,2025-06,0,0,0,0,0,0,0,0,0,1,1
hiero-ledger/hiero-website,2025-07,1,0,0,0,0,1,1,0,0,0,3
hiero-ledger/sdk-collaboration-hub,2025-06,0,0,2,0,0,0,0,0,0,0,2
hiero-ledger/sdk-collaboration-hub,2025-07,0,0,1,0,0,0,0,0,0,0,1
hiero-ledger/homebrew-tools,2026-02,0,0,0,0,0,0,0,0,2,0,2
hiero-ledger/tsc,2025-07,0,0,0,1,0,0,0,0,0,0,1
hiero-ledger/tsc,2025-09,0,0,1,0,0,0,0,0,0,0,1
hyperledger-labs/convector,2019-02,0,0,0,0,0,0,0,1,0,0,1
hyperledger-labs/fabric-chrome-extension,2018-09,0,0,0,0,0,0,0,1,0,0,1
