repo,month,IssuesEvent,IssueCommentEvent,WatchEvent,total
hyperledger-labs/open-enterprise-agent,2024-01,4,1,0,5
hyperledger-labs/open-enterprise-agent,2024-02,2,2,0,4
hyperledger-labs/open-enterprise-agent,2024-03,0,1,0,1
hyperledger-labs/open-enterprise-agent,2024-04,0,2,0,2
hyperledger/identus-cloud-agent,2024-05,0,2,0,2
hyperledger/identus-cloud-agent,2024-07,4,1,0,5
hyperledger/identus,2024-07,1,0,0,1
hyperledger/identus,2024-08,0,1,0,1
hyperledger/indy-did-networks,2024-07,0,0,1,1
