repo,month,PushEvent,PullRequestReviewEvent,IssueCommentEvent,PullRequestEvent,PullRequestReviewCommentEvent,CreateEvent,IssuesEvent,DeleteEvent,ReleaseEvent,ForkEvent,GollumEvent,total
open-quantum-safe/liboqs,2024-01,1,0,0,2,0,2,0,0,0,0,0,5
open-quantum-safe/liboqs,2024-02,0,1,1,0,0,0,0,0,0,0,0,2
open-quantum-safe/liboqs,2024-03,13,0,0,0,0,1,0,0,0,0,0,14
open-quantum-safe/liboqs,2024-04,33,24,4,4,22,1,0,1,0,0,0,89
open-quantum-safe/liboqs,2024-05,5,4,4,1,1,0,0,0,0,0,0,15
open-quantum-safe/liboqs,2024-06,0,4,0,0,0,0,0,0,0,0,0,4
open-quantum-safe/liboqs,2024-07,8,5,1,0,4,0,0,0,0,0,0,18
open-quantum-safe/liboqs,2024-08,10,13,8,5,11,2,2,0,0,0,0,51
open-quantum-safe/liboqs,2024-09,8,4,6,5,0,3,1,0,2,0,0,29
open-quantum-safe/liboqs,2024-10,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs,2024-11,0,5,2,0,1,0,0,0,0,0,0,8
open-quantum-safe/liboqs,2025-01,2,3,14,1,1,1,2,0,0,0,0,24
open-quantum-safe/liboqs,2025-02,2,2,1,2,0,1,0,0,0,0,0,8
open-quantum-safe/liboqs,2025-03,2,5,2,2,0,2,1,5,0,0,0,19
open-quantum-safe/liboqs,2025-04,8,6,5,4,1,4,2,0,1,0,0,31
open-quantum-safe/liboqs,2025-05,2,1,0,0,1,0,0,0,0,0,0,4
open-quantum-safe/liboqs,2025-06,0,2,1,0,0,1,0,0,0,0,0,4
open-quantum-safe/liboqs,2025-07,2,1,3,1,0,1,0,0,0,0,0,8
open-quantum-safe/liboqs,2025-08,0,8,2,2,0,0,0,0,0,0,0,12
open-quantum-safe/oqs-provider,2024-08,0,0,1,0,0,1,0,0,0,0,0,2
open-quantum-safe/oqs-provider,2024-09,10,1,0,1,1,1,1,0,0,0,0,15
open-quantum-safe/oqs-provider,2024-10,17,5,8,13,4,7,4,1,2,1,2,64
open-quantum-safe/oqs-provider,2024-11,3,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/oqs-provider,2024-12,14,3,3,1,3,2,0,1,1,0,0,28
open-quantum-safe/oqs-provider,2025-01,0,0,0,0,0,0,0,2,0,0,0,2
open-quantum-safe/oqs-provider,2025-04,4,2,2,1,2,3,0,0,0,0,0,14
open-quantum-safe/oqs-provider,2025-05,9,4,7,10,3,7,0,1,1,0,0,42
open-quantum-safe/oqs-provider,2025-06,0,0,2,2,0,1,1,0,0,0,0,6
open-quantum-safe/oqs-provider,2025-07,0,1,1,2,0,1,0,0,0,0,0,5
open-quantum-safe/oqs-provider,2025-08,0,0,0,1,0,0,0,0,0,0,0,1
pq-code-package/mldsa-native,2025-03,0,0,3,0,0,0,0,0,0,0,0,3
pq-code-package/mldsa-native,2025-04,0,6,5,1,6,0,1,0,0,1,0,20
pq-code-package/mldsa-native,2025-05,0,0,0,1,0,0,0,0,0,0,0,1
pq-code-package/mldsa-native,2025-07,0,0,1,0,0,0,0,0,0,0,0,1
pq-code-package/mldsa-native,2025-08,0,0,2,1,0,0,0,0,0,0,0,3
open-quantum-safe/ci-containers,2024-04,5,0,0,2,0,2,1,1,0,0,0,11
open-quantum-safe/ci-containers,2024-05,0,0,2,0,0,0,1,0,0,0,0,3
open-quantum-safe/ci-containers,2024-08,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/ci-containers,2025-01,3,1,0,2,0,1,0,0,0,0,0,7
open-quantum-safe/ci-containers,2025-02,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/ci-containers,2025-07,0,0,0,1,0,0,0,0,0,0,0,1
open-quantum-safe/ci-containers,2025-08,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2024-08,0,0,3,1,0,0,0,0,0,1,0,5
open-quantum-safe/tsc,2024-12,0,0,1,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2025-02,0,0,0,1,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2025-03,0,0,2,0,0,0,0,0,0,0,0,2
open-quantum-safe/tsc,2025-04,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/tsc,2025-05,0,0,1,1,0,0,0,0,0,0,0,2
open-quantum-safe/tsc,2025-08,0,0,0,1,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2024-08,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2024-09,1,0,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/oqs-demos,2024-10,3,0,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/oqs-demos,2025-06,1,0,2,1,1,0,1,0,0,0,0,6
pq-code-package/tsc,2024-11,0,0,2,0,0,0,0,0,0,0,0,2
pq-code-package/tsc,2025-01,0,0,0,0,0,0,1,0,0,0,0,1
pq-code-package/tsc,2025-02,0,0,2,0,0,0,0,0,0,0,0,2
pq-code-package/tsc,2025-05,0,0,3,0,0,0,0,0,0,0,0,3
pq-code-package/tsc,2025-06,0,0,1,0,0,0,1,0,0,0,0,2
pq-code-package/tsc,2025-07,0,0,1,0,0,0,0,0,0,0,0,1
open-quantum-safe/www,2024-05,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/www,2024-07,0,1,0,0,1,0,0,0,0,0,0,2
open-quantum-safe/www,2025-01,0,3,0,0,0,0,0,0,0,0,0,3
open-quantum-safe/boringssl,2024-09,0,1,1,0,0,0,0,0,0,0,0,2
open-quantum-safe/openssh,2025-04,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/openssh,2025-05,0,1,0,0,0,0,0,0,0,0,0,1
open-quantum-safe/liboqs-cupqc-meta,2025-03,0,0,0,0,0,1,0,0,0,0,0,1
open-quantum-safe/liboqs-java,2024-05,0,1,0,0,0,0,0,0,0,0,0,1
