repo,month,PullRequestEvent,PushEvent,PullRequestReviewEvent,CreateEvent,PullRequestReviewCommentEvent,DeleteEvent,ForkEvent,IssueCommentEvent,IssuesEvent,ReleaseEvent,total
hyperledger-labs/fabric-ansible-collection,2023-03,1,0,0,0,0,0,1,0,0,0,2
hyperledger-labs/fabric-ansible-collection,2023-04,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-ansible-collection,2023-05,3,0,0,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-ansible-collection,2023-06,15,7,10,0,8,0,0,1,0,0,41
hyperledger-labs/fabric-ansible-collection,2023-08,3,2,0,0,0,0,0,1,1,0,7
hyperledger-labs/fabric-ansible-collection,2023-09,5,5,3,1,0,1,0,0,0,1,16
hyperledger-labs/fabric-ansible-collection,2023-10,6,2,0,1,0,1,0,0,0,0,10
hyperledger-labs/fabric-ansible-collection,2024-02,3,2,1,2,0,1,0,0,0,0,9
hyperledger-labs/fabric-ansible-collection,2024-03,4,3,1,3,0,1,0,0,0,0,12
hyperledger-labs/fabric-ansible-collection,2024-04,1,0,1,1,0,0,0,0,0,0,3
hyperledger-labs/fabric-ansible-collection,2025-01,1,1,0,0,0,0,0,0,0,0,2
hyperledger-labs/fabric-operations-console,2022-07,1,0,0,0,0,0,2,0,0,0,3
hyperledger-labs/fabric-operations-console,2022-09,2,0,0,0,0,0,0,0,0,0,2
hyperledger-labs/fabric-operations-console,2022-10,3,0,0,0,0,0,0,0,0,0,3
hyperledger-labs/fabric-operations-console,2022-12,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2023-01,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2023-04,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/fabric-operations-console,2023-05,1,0,0,0,0,0,0,0,0,0,1
hyperledger-labs/governance,2024-03,0,0,0,0,0,0,0,0,1,0,1
hyperledger/fabric-samples,2023-02,0,0,0,0,0,0,1,0,0,0,1
