repo,month,PullRequestReviewEvent,PullRequestReviewCommentEvent,PushEvent,IssuesEvent,PullRequestEvent,CreateEvent,DeleteEvent,IssueCommentEvent,total
hiero-ledger/hiero-block-node,2025-02,27,18,10,12,12,6,6,3,94
hiero-ledger/hiero-block-node,2025-03,27,23,26,5,3,2,1,2,89
hiero-ledger/hiero-consensus-node,2025-02,1,1,0,0,0,0,0,0,2
