repo,month,PushEvent,PullRequestReviewEvent,PullRequestEvent,PullRequestReviewCommentEvent,CreateEvent,DeleteEvent,IssuesEvent,IssueCommentEvent,total
hiero-ledger/hiero-consensus-node,2025-02,4,1,2,0,1,2,1,1,12
hiero-ledger/hiero-consensus-node,2025-03,1,2,1,1,0,1,2,1,9
hiero-ledger/hiero-consensus-node,2025-04,6,1,1,1,3,2,1,0,15
hiero-ledger/hiero-consensus-node,2025-05,14,4,6,6,2,2,4,2,40
hiero-ledger/hiero-consensus-node,2025-06,12,2,2,2,3,1,1,0,23
hiero-ledger/hiero-consensus-node,2025-07,44,1,2,1,1,1,2,0,52
hiero-ledger/hiero-consensus-node,2025-08,25,4,2,4,1,2,2,0,40
hiero-ledger/hiero-consensus-node,2025-09,8,3,0,4,0,0,0,0,15
hiero-ledger/hiero-consensus-node,2025-10,3,0,2,0,1,0,0,0,6
hiero-ledger/hiero-consensus-node,2025-11,9,1,0,2,2,1,0,1,16
hiero-ledger/hiero-consensus-node,2025-12,14,1,5,1,1,1,5,0,28
hiero-ledger/hiero-consensus-node,2026-01,23,6,2,6,1,0,1,0,39
hiero-ledger/hiero-consensus-node,2026-02,22,2,2,1,2,2,1,0,32
hiero-ledger/hiero-consensus-node,2026-03,52,1,0,1,8,4,1,0,67
hiero-ledger/hiero-consensus-node,2026-04,36,3,4,1,4,8,2,0,58
