repo,month,PullRequestReviewEvent,PullRequestEvent,PushEvent,PullRequestReviewCommentEvent,DeleteEvent,IssueCommentEvent,ForkEvent,CreateEvent,WatchEvent,IssuesEvent,total
openwallet-foundation-labs/wallet-framework-dotnet,2023-10,0,2,0,0,0,0,0,0,0,0,2
openwallet-foundation-labs/wallet-framework-dotnet,2024-01,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/wallet-framework-dotnet,2024-02,2,1,1,0,1,0,0,0,0,0,5
openwallet-foundation-labs/wallet-framework-dotnet,2024-05,11,13,14,2,6,1,0,3,0,0,50
openwallet-foundation-labs/wallet-framework-dotnet,2024-06,1,1,3,1,1,0,0,0,0,0,7
openwallet-foundation-labs/wallet-framework-dotnet,2024-08,5,5,6,1,1,0,0,2,0,0,20
openwallet-foundation-labs/wallet-framework-dotnet,2024-10,1,0,0,0,0,0,0,0,0,0,1
openwallet-foundation-labs/wallet-framework-dotnet,2025-10,0,0,0,0,0,1,0,0,0,1,2
openwallet-foundation-labs/wallet-framework-dotnet,2025-11,1,0,0,1,0,0,0,0,0,0,2
hyperledger/aries-framework-dotnet,2019-09,0,0,0,0,0,0,1,0,0,0,1
hyperledger/aries-framework-dotnet,2019-12,0,0,0,0,0,0,0,0,1,0,1
hyperledger/aries-framework-dotnet,2021-01,0,1,0,0,0,0,0,0,0,0,1
hyperledger/aries-framework-dotnet,2021-04,0,1,0,0,0,0,0,0,0,0,1
hyperledger/aries-framework-dotnet,2021-11,0,1,0,0,0,2,0,0,0,0,3
hyperledger/aries-framework-dotnet,2021-12,0,2,1,0,0,0,0,0,0,0,3
hyperledger/aries-framework-dotnet,2022-01,0,1,0,0,0,0,0,0,0,0,1
hyperledger/aries-framework-dotnet,2022-02,2,2,2,0,0,1,0,0,0,0,7
hyperledger/aries-framework-dotnet,2022-03,10,3,2,7,0,1,0,0,0,0,23
hyperledger/aries-framework-dotnet,2022-05,3,2,2,0,0,0,0,0,0,0,7
hyperledger/aries-framework-dotnet,2022-06,0,2,1,0,0,0,0,0,0,0,3
hyperledger/aries-framework-dotnet,2022-08,0,1,1,0,0,0,0,0,0,0,2
hyperledger/aries-framework-dotnet,2022-09,2,3,2,0,0,0,0,0,0,0,7
hyperledger/aries-framework-dotnet,2022-11,1,1,1,0,0,0,0,0,0,1,4
hyperledger/aries-framework-dotnet,2022-12,1,1,1,0,0,0,0,0,0,0,3
hyperledger/aries-framework-dotnet,2023-03,1,0,0,0,0,0,0,0,0,0,1
hyperledger/aries-framework-dotnet,2023-04,1,0,1,0,0,0,0,0,0,0,2
hyperledger/aries-framework-dotnet,2023-05,2,1,1,0,0,0,0,0,0,0,4
hyperledger/aries-framework-dotnet,2023-07,6,3,3,0,0,0,0,0,0,0,12
hyperledger/aries-framework-dotnet,2023-10,0,1,0,0,0,0,0,0,0,0,1
openwallet-foundation/project-proposals,2023-09,10,1,0,10,0,0,1,0,0,0,22
hyperledger/aries-rfcs,2020-01,0,0,0,0,0,0,0,0,1,0,1
hyperledger/aries-rfcs,2020-11,0,0,0,0,0,1,0,0,0,0,1
hyperledger/aries-rfcs,2022-03,0,0,0,0,0,0,1,0,0,0,1
trustoverip/TIP0028-saturn-v,2021-02,0,2,0,0,0,0,1,0,0,0,3
hyperledger/aries-mobileagent-xamarin,2020-04,0,0,0,0,0,0,0,0,1,0,1
hyperledger/aries-mobileagent-xamarin,2021-04,0,0,0,0,0,1,0,0,0,0,1
hyperledger/indy-sdk,2019-06,0,0,0,0,0,0,1,0,0,0,1
hyperledger/indy-sdk,2021-04,0,0,0,0,0,0,0,0,0,1,1
hyperledger/indy-agent,2018-09,0,0,0,0,0,0,1,0,0,0,1
hyperledger/indy-node-monitor,2020-08,0,0,0,0,0,0,0,0,1,0,1
